frame_index,LeftUpperLeg_orientation_w,LeftUpperLeg_orientation_x,LeftUpperLeg_orientation_y,LeftUpperLeg_orientation_z,LeftLowerLeg_orientation_w,LeftLowerLeg_orientation_x,LeftLowerLeg_orientation_y,LeftLowerLeg_orientation_z,LeftUpperLeg_angularVelocity_x,LeftUpperLeg_angularVelocity_y,LeftUpperLeg_angularVelocity_z,LeftLowerLeg_angularVelocity_x,LeftLowerLeg_angularVelocity_y,LeftLowerLeg_angularVelocity_z,LeftUpperLeg_acceleration_x,LeftUpperLeg_acceleration_y,LeftUpperLeg_acceleration_z,LeftLowerLeg_acceleration_x,LeftLowerLeg_acceleration_y,LeftLowerLeg_acceleration_z
0,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
1,0.999712,0.000000,0.024018,0.000000,0.999174,0.000000,0.040640,0.000000,,,,,,,,,,,,
2,0.999712,0.000000,0.024018,0.000000,0.999174,0.000000,0.040640,0.000000,,,,,,,,,,,,
3,-0.520014,0.008636,-0.005601,-0.854096,0.536445,-0.038663,0.031931,0.842444,-0.005108,0.000750,-0.021550,-0.011434,-0.001363,-0.010317,-0.034558,-0.056236,-0.010968,-0.010035,-0.032414,0.007385
4,0.519605,-0.008677,0.005578,0.854344,0.536878,-0.038552,0.031962,0.842172,-0.006353,-0.000913,-0.020060,-0.013058,-0.000717,-0.010896,-0.123774,0.060406,0.073309,-0.067192,0.037039,-0.050118
5,0.519188,-0.008720,0.005553,0.854598,0.537318,-0.038438,0.031993,0.841895,-0.006212,0.000390,-0.017107,-0.012213,-0.000581,-0.008752,0.041822,-0.045141,-0.019572,-0.049490,-0.075251,0.009481
6,0.518763,-0.008763,0.005528,0.854855,0.537764,-0.038323,0.032024,0.841615,-0.010069,-0.000370,-0.015697,-0.012873,-0.002660,-0.008690,-0.026375,0.183428,0.066087,-0.091721,0.060545,0.048885
7,0.518335,-0.008807,0.005502,0.855115,0.538212,-0.038206,0.032055,0.841333,-0.011781,0.001731,-0.008521,-0.014499,-0.003734,-0.007064,0.122030,0.140087,-0.007896,-0.068582,0.144473,0.036402
8,0.517907,-0.008851,0.005476,0.855374,0.538660,-0.038089,0.032086,0.841050,-0.013433,0.003976,-0.003103,-0.013838,-0.002684,-0.006187,0.136133,0.043034,-0.025217,0.011207,-0.000254,-0.014111
9,0.517482,-0.008895,0.005451,0.855630,0.539105,-0.037974,0.032117,0.840769,-0.012397,0.004175,0.000177,-0.011784,-0.003381,-0.005115,0.028135,-0.050589,-0.043191,-0.041869,-0.025607,0.033772
10,0.517063,-0.008937,0.005426,0.855883,0.539544,-0.037860,0.032148,0.840491,-0.011822,0.005774,-0.004839,-0.010814,-0.002374,-0.005036,0.156093,-0.050471,0.021913,-0.032616,-0.079474,0.008699
11,0.516655,-0.008979,0.005403,0.856130,0.539976,-0.037749,0.032179,0.840218,-0.012255,0.005277,-0.006747,-0.012449,-0.002062,-0.005139,-0.005504,0.088758,-0.025322,-0.033560,0.144483,0.036353
12,0.516258,-0.009019,0.005381,0.856368,0.540397,-0.037641,0.032211,0.839951,-0.011273,0.003955,-0.010367,-0.015570,-0.003464,-0.003974,-0.033246,-0.067129,0.042674,-0.024999,0.208125,0.037928
