frame_index,RightUpperLeg_orientation_w,RightUpperLeg_orientation_x,RightUpperLeg_orientation_y,RightUpperLeg_orientation_z,RightLowerLeg_orientation_w,RightLowerLeg_orientation_x,RightLowerLeg_orientation_y,RightLowerLeg_orientation_z,RightUpperLeg_angularVelocity_x,RightUpperLeg_angularVelocity_y,RightUpperLeg_angularVelocity_z,RightLowerLeg_angularVelocity_x,RightLowerLeg_angularVelocity_y,RightLowerLeg_angularVelocity_z,RightUpperLeg_acceleration_x,RightUpperLeg_acceleration_y,RightUpperLeg_acceleration_z,RightLowerLeg_acceleration_x,RightLowerLeg_acceleration_y,RightLowerLeg_acceleration_z
0,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
1,0.999712,0.000000,0.023989,0.000000,0.999187,0.000000,0.040322,0.000000,,,,,,,,,,,,
2,0.999712,0.000000,0.023989,0.000000,0.999187,0.000000,0.040322,0.000000,,,,,,,,,,,,
3,0.633661,-0.092843,0.072319,0.764607,0.650192,-0.028024,0.014400,0.759116,-0.006455,-0.001924,-0.006621,-0.006918,0.002231,0.026773,0.177776,-0.155021,-0.045858,-0.072850,0.180216,0.020126
4,0.633415,-0.092925,0.072185,0.764814,0.650417,-0.027888,0.014546,0.758925,-0.008017,-0.004240,-0.008141,-0.006707,0.002722,0.021597,-0.042289,-0.048247,-0.073799,-0.046501,0.119896,0.007101
5,0.633161,-0.093008,0.072048,0.765027,0.650647,-0.027749,0.014696,0.758731,-0.006674,0.000469,-0.014268,-0.007728,0.002952,0.020008,0.540322,-0.186018,-0.038025,-0.057262,0.169819,-0.045681
6,0.632902,-0.093094,0.071910,0.765243,0.650879,-0.027609,0.014847,0.758534,-0.004970,0.001245,-0.016420,-0.009712,0.003600,0.017154,0.146431,-0.187734,-0.078913,-0.033503,0.195277,0.013823
7,0.632641,-0.093180,0.071772,0.765462,0.651113,-0.027467,0.014999,0.758335,-0.003797,0.003641,-0.022821,-0.008837,0.000025,0.014172,0.300427,-0.094552,-0.008440,-0.140582,0.131400,-0.058970
8,0.632380,-0.093267,0.071633,0.765680,0.651347,-0.027325,0.015151,0.758136,-0.003789,0.003414,-0.028188,-0.007556,-0.000104,0.010910,0.061904,-0.005882,-0.106021,-0.086717,0.003985,0.000160
9,0.632121,-0.093352,0.071495,0.765896,0.651579,-0.027184,0.015302,0.757939,-0.004914,0.000959,-0.036508,-0.008712,0.001671,0.009713,-0.018846,0.160151,-0.096919,-0.014803,0.217977,0.022932
10,0.631867,-0.093436,0.071358,0.766109,0.651808,-0.027045,0.015451,0.757744,-0.011571,0.001203,-0.035795,-0.008655,-0.000294,0.008259,0.061394,0.505714,-0.130229,-0.105660,0.080424,-0.060650
11,0.631620,-0.093517,0.071224,0.766315,0.652033,-0.026909,0.015597,0.757552,-0.010218,-0.002016,-0.040035,-0.008943,-0.002019,0.006241,-0.155021,-0.016301,-0.083002,-0.111412,0.136205,0.009193
12,0.631382,-0.093595,0.071093,0.766513,0.652252,-0.026777,0.015740,0.757366,-0.011353,-0.006255,-0.047375,-0.010858,-0.000164,0.006249,-0.154432,0.241320,-0.072858,0.055628,0.226878,-0.052336
13,0.631156,-0.093669,0.070967,0.766702,0.652463,-0.026649,0.015879,0.757185,-0.011337,-0.004801,-0.052381,-0.008862,-0.001734,0.008547,0.194663,0.128234,-0.055037,-0.092263,0.059227,0.001976
14,0.630945,-0.093738,0.070845,0.766878,0.652665,-0.026527,0.016011,0.757013,-0.015150,-0.006433,-0.058256,-0.009268,0.000821,0.008288,-0.034192,0.345132,-0.112639,0.041292,0.140239,0.007772
