frame_index,T8_orientation_w,T8_orientation_x,T8_orientation_y,T8_orientation_z,T8_angularVelocity_x,T8_angularVelocity_y,T8_angularVelocity_z,T8_acceleration_x,T8_acceleration_y,T8_acceleration_z
0,1.0,0.0,0.0,0.0,,,,,,
1,1.0,0.0,0.0,0.0,,,,,,
2,1.0,0.0,0.0,0.0,,,,,,
0,0.893262,0.00283,0.011596,-0.449377,-0.156412,-0.070036,-0.010484,0.033638,-0.017965,-0.051424
1,0.893242,0.00258,0.011369,-0.449425,-0.153659,-0.071873,-0.007372,-0.005075,-0.040008,0.063479
2,0.89322,0.002327,0.01114,-0.449476,-0.16371,-0.073974,-0.006468,0.032524,-0.175875,-0.197427
3,0.893197,0.002072,0.010909,-0.449529,-0.168075,-0.076805,-0.006197,0.09739,-0.132378,-0.169798
4,0.893173,0.001816,0.010678,-0.449583,-0.172587,-0.076473,-0.004186,-0.056613,-0.179009,0.010506
5,0.893149,0.00156,0.010446,-0.449636,-0.178958,-0.080813,-0.003235,0.09243,-0.158816,-0.114411
6,0.893126,0.001305,0.010215,-0.449689,-0.178979,-0.08431,-0.004053,0.090626,-0.087091,0.002667
7,0.893103,0.001052,0.009986,-0.449739,-0.180362,-0.089165,-0.007071,0.144666,0.070014,-0.07464
8,0.893082,0.000802,0.009759,-0.449787,-0.179022,-0.094097,-0.006577,0.062845,0.052074,-0.01162
9,0.893063,0.000555,0.009536,-0.44983,-0.179534,-0.095714,-0.008656,0.139203,0.069879,-0.044138
10,0.893046,0.000313,0.009316,-0.449868,-0.17976,-0.0947,-0.008093,0.054331,-0.112297,0.02972
11,0.893033,7.6e-05,0.009102,-0.4499,-0.17673,-0.094947,-0.010132,0.130113,-0.003446,0.002546
12,0.893022,-0.000154,0.008893,-0.449924,-0.172923,-0.093433,-0.009446,0.018331,-0.01009,0.099836
13,0.893015,-0.00038,0.008687,-0.449942,-0.172414,-0.09062,-0.004224,-0.091414,-0.171928,-0.003274
14,0.893011,-0.000605,0.008482,-0.449955,-0.166676,-0.088319,-0.004014,-0.013164,-0.030938,0.111243
15,0.893009,-0.000827,0.008278,-0.449963,-0.15869,-0.078412,0.003473,-0.332825,-0.1949,0.332777
16,0.893009,-0.001046,0.008077,-0.449966,-0.151668,-0.07694,0.003894,-0.104271,0.034896,0.056401
17,0.89301,-0.001261,0.007879,-0.449965,-0.140876,-0.070418,0.012254,-0.355238,-0.073631,0.187699
18,0.893014,-0.001472,0.007685,-0.449961,-0.133459,-0.064037,0.015501,-0.255605,-0.109016,0.138406
19,0.893019,-0.001679,0.007496,-0.449953,-0.129416,-0.058928,0.022308,-0.358537,-0.056768,0.061409
20,0.893026,-0.001879,0.007313,-0.449941,-0.127433,-0.053025,0.027012,-0.23887,-0.17956,-0.080904
21,0.893034,-0.002073,0.007137,-0.449927,-0.125124,-0.0471,0.026599,-0.199852,0.042878,0.034247
22,0.893044,-0.00226,0.006969,-0.449911,-0.121888,-0.043466,0.028797,-0.186661,-0.046111,-0.078951
23,0.893054,-0.002439,0.00681,-0.449892,-0.120262,-0.039444,0.036089,-0.351953,-0.104415,-0.015903
24,0.893065,-0.00261,0.00666,-0.449871,-0.119984,-0.042761,0.038111,-0.139074,-0.093994,-0.226228
25,0.893078,-0.002773,0.006522,-0.449846,-0.116153,-0.038315,0.041368,-0.207997,0.021799,0.127957
26,0.893094,-0.00293,0.006395,-0.449816,-0.115859,-0.036507,0.044878,-0.176663,-0.14031,-0.017321
27,0.893112,-0.003081,0.006277,-0.449781,-0.107437,-0.037204,0.043005,-0.002145,0.187341,0.145669
28,0.893131,-0.003226,0.006168,-0.449742,-0.098824,-0.032016,0.039452,-0.082062,0.26041,0.220409
29,0.893152,-0.003365,0.006066,-0.449701,-0.091931,-0.023765,0.034979,0.003164,0.18264,0.174501
30,0.893174,-0.003497,0.00597,-0.449657,-0.088544,-0.024554,0.033338,0.106532,0.035143,-0.036369
31,0.893197,-0.003622,0.005877,-0.449613,-0.086994,-0.030686,0.028046,0.32953,0.102045,-0.175148
32,0.89322,-0.003741,0.005787,-0.449568,-0.077171,-0.027615,0.031566,-0.029359,-0.033352,0.255326
33,0.893242,-0.003852,0.005699,-0.449524,-0.067763,-0.028052,0.027002,0.096034,0.192954,0.077959
34,0.893263,-0.003957,0.00561,-0.449482,-0.058776,-0.025374,0.02798,-0.092806,0.098119,0.041458
35,0.893283,-0.004055,0.00552,-0.449443,-0.056799,-0.028712,0.026837,-0.038253,0.05978,-0.221621
36,0.893301,-0.004146,0.005427,-0.449407,-0.047792,-0.036382,0.02423,0.185352,0.121988,-0.108348
37,0.893318,-0.004227,0.005331,-0.449374,-0.042979,-0.040689,0.016897,0.256262,0.116595,0.015085
38,0.893333,-0.004297,0.005235,-0.449344,-0.039128,-0.049318,0.009636,0.373594,0.131038,-0.085154
39,0.893348,-0.004358,0.005139,-0.449316,-0.031618,-0.050607,0.002632,0.254491,0.174132,0.216674
40,0.893361,-0.00441,0.005044,-0.449289,-0.031473,-0.054356,0.00446,0.156608,-0.112829,0.030835
41,0.893375,-0.004456,0.004949,-0.449263,-0.033566,-0.055852,0.002204,0.180001,-0.017862,0.112189
42,0.893388,-0.004496,0.004857,-0.449237,-0.039886,-0.058303,0.002077,0.08902,-0.144839,-0.089079
43,0.893401,-0.004532,0.004767,-0.449211,-0.044207,-0.054519,0.010274,-0.187332,-0.190614,0.037254
44,0.893415,-0.004565,0.00468,-0.449184,-0.050153,-0.048525,0.023492,-0.392763,-0.338767,0.037229
45,0.89343,-0.004597,0.004598,-0.449156,-0.054397,-0.038737,0.041493,-0.59892,-0.457614,0.098352
46,0.893445,-0.004628,0.004519,-0.449127,-0.057029,-0.030636,0.048759,-0.337954,-0.309862,0.140526
47,0.893461,-0.00466,0.004446,-0.449095,-0.057224,-0.026811,0.049482,-0.174703,-0.054789,0.18196
48,0.893479,-0.004695,0.004378,-0.44906,-0.052189,-0.019769,0.050867,-0.273534,0.069009,0.250366
49,0.893498,-0.004732,0.004316,-0.449021,-0.047388,-0.019789,0.044181,-0.044497,0.119764,0.067661
50,0.893519,-0.004771,0.004258,-0.44898,-0.042187,-0.01457,0.041028,-0.171014,0.10464,0.091163
51,0.893541,-0.00481,0.004204,-0.448936,-0.034153,-0.016099,0.039972,-0.205697,0.149703,0.048709
52,0.893565,-0.004849,0.004154,-0.448889,-0.029243,-0.01474,0.034873,-0.061672,0.134787,0.013863
53,0.893588,-0.004886,0.004108,-0.448842,-0.023504,-0.018195,0.033949,-0.084167,0.07219,-0.053693
54,0.893612,-0.00492,0.004066,-0.448794,-0.019897,-0.021208,0.030104,0.028232,0.121959,-0.096338
55,0.893636,-0.004951,0.004027,-0.448746,-0.01886,-0.021973,0.027571,-0.034616,0.156774,-0.103932
56,0.89366,-0.004977,0.003991,-0.448699,-0.021134,-0.023145,0.026315,-0.127245,0.077168,-0.144454
57,0.893683,-0.004998,0.003959,-0.448653,-0.01849,-0.024202,0.025916,0.018254,0.095231,-0.000723
58,0.893705,-0.005012,0.00393,-0.44861,-0.013437,-0.023328,0.022097,-0.02438,0.233754,0.104242
59,0.893726,-0.005019,0.003903,-0.448569,-0.014698,-0.024773,0.021605,-0.016647,-0.00954,-0.020629
