SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,-0.000000,,,,,,,0
16666,0.999174,-0.040640,0.000000,-0.000000,,,,,,,0
33332,0.999174,-0.040640,0.000000,-0.000000,,,,,,,0
49998,0.877177,-0.042202,-0.005150,0.478282,-0.047869,-0.041760,0.039013,0.009110,0.000454,-0.003252,0
66664,0.877147,-0.042205,-0.005100,0.478336,-0.154457,-0.004713,0.022608,0.007790,-0.001218,-0.003936,0
83330,0.877117,-0.042207,-0.005049,0.478392,-0.082475,-0.024843,0.035365,0.007314,-0.003195,-0.008676,0
99996,0.877086,-0.042210,-0.004997,0.478448,0.019408,-0.075853,0.017837,0.006671,-0.001746,-0.011274,0
116662,0.877055,-0.042213,-0.004945,0.478506,-0.062800,-0.110482,-0.036557,0.007588,-0.001475,-0.015036,0
133328,0.877024,-0.042216,-0.004894,0.478563,-0.095498,-0.087904,-0.025241,0.008008,-0.004844,-0.013077,0
149994,0.876993,-0.042219,-0.004842,0.478620,-0.053434,-0.049781,0.040391,0.008270,-0.005200,-0.014246,0
166660,0.876963,-0.042222,-0.004791,0.478676,0.088677,-0.109984,0.041135,0.008964,-0.004632,-0.013802,0
183326,0.876933,-0.042225,-0.004740,0.478730,0.058976,-0.139335,0.066645,0.012169,-0.002577,-0.011407,0
199992,0.876906,-0.042228,-0.004690,0.478781,0.054468,-0.048930,0.005841,0.013244,-0.002736,-0.009242,0
216658,0.876879,-0.042231,-0.004641,0.478830,0.092483,0.009174,-0.032966,0.010709,-0.001883,-0.006970,0
233324,0.876855,-0.042233,-0.004592,0.478874,0.057444,0.004359,-0.004088,0.010082,-0.001855,-0.004362,0
249990,0.876833,-0.042235,-0.004545,0.478915,0.034752,-0.058631,0.007415,0.011438,-0.002244,-0.000155,0
266656,0.876813,-0.042238,-0.004498,0.478951,-0.001632,0.039945,-0.099619,0.008375,-0.002542,0.003066,0
283322,0.876795,-0.042241,-0.004452,0.478984,0.088883,0.089044,0.008935,0.006866,-0.001962,0.002020,0
299988,0.876779,-0.042245,-0.004405,0.479014,0.082727,-0.119376,0.011095,0.010028,0.000427,0.003075,0
316654,0.876764,-0.042248,-0.004359,0.479041,-0.032836,-0.064349,0.019730,0.013068,0.000814,0.001975,0
333320,0.876751,-0.042252,-0.004314,0.479066,0.008250,0.033590,0.061905,0.012561,0.000868,0.000886,0
349986,0.876738,-0.042255,-0.004270,0.479089,-0.104937,0.173094,0.003153,0.009821,-0.000622,0.000718,0
366652,0.876727,-0.042258,-0.004226,0.479109,-0.083013,0.079594,0.072553,0.009470,-0.001555,-0.001253,0
383318,0.876717,-0.042260,-0.004184,0.479129,-0.091345,-0.017232,0.062062,0.010402,-0.002523,-0.000832,0
399984,0.876707,-0.042261,-0.004143,0.479146,-0.048039,0.052999,0.005856,0.009849,-0.004083,-0.000126,0
416650,0.876698,-0.042261,-0.004103,0.479163,0.025887,0.071226,0.003328,0.008704,-0.003061,0.001852,0
433316,0.876690,-0.042259,-0.004064,0.479179,0.028198,0.064707,-0.018921,0.010155,-0.002719,-0.000424,0
449982,0.876681,-0.042256,-0.004027,0.479195,-0.044327,0.160390,-0.037401,0.008537,-0.003899,0.001414,0
466648,0.876674,-0.042251,-0.003992,0.479209,-0.122134,0.160076,0.041998,0.008072,-0.006906,0.004390,0
483314,0.876669,-0.042244,-0.003959,0.479220,0.055398,0.285067,0.048890,0.005437,-0.004602,0.004573,0
499980,0.876664,-0.042235,-0.003927,0.479229,0.070543,0.016854,0.042073,0.007803,-0.002872,0.001440,0
516646,0.876661,-0.042225,-0.003896,0.479236,0.025894,0.201995,-0.007897,0.006749,-0.003169,0.004648,0
533312,0.876658,-0.042214,-0.003867,0.479242,0.022000,0.181988,-0.032531,0.004621,-0.004548,0.003827,0
549978,0.876656,-0.042202,-0.003838,0.479247,0.089570,0.017278,0.022096,0.005310,-0.003026,0.007308,0
566644,0.876655,-0.042190,-0.003811,0.479252,-0.029166,0.136949,-0.053012,0.002837,-0.005882,0.008365,0
583310,0.876653,-0.042178,-0.003784,0.479257,0.055012,0.180470,-0.008411,-0.001579,-0.006220,0.007609,0
599976,0.876650,-0.042166,-0.003757,0.479262,0.005781,0.040056,0.037134,0.000014,-0.005769,0.008427,0
616642,0.876647,-0.042155,-0.003731,0.479269,0.005380,-0.117532,0.061441,0.002496,-0.005618,0.009023,0
633308,0.876644,-0.042145,-0.003705,0.479277,0.080337,0.124738,0.022198,0.001459,-0.003681,0.005112,0
