SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
16666,0.999797,-0.000000,0.000000,0.020149,,,,,,,0
33332,0.489824,-0.489824,-0.509973,0.509973,,,,,,,0
49998,0.644151,0.302182,0.609476,-0.349705,-0.040006,0.399287,-0.048420,0.077967,0.007502,-0.445130,0
66664,0.643771,0.302619,0.609329,-0.350284,-0.398994,0.152316,-0.000301,0.082581,-0.002588,-0.452457,0
83330,0.643384,0.303069,0.609176,-0.350872,-0.367662,0.293694,0.018648,0.085660,-0.013169,-0.453577,0
99996,0.642994,0.303526,0.609017,-0.351466,-0.196932,-0.132334,-0.048090,0.095684,-0.019208,-0.452784,0
116662,0.642602,0.303988,0.608856,-0.352064,-0.159463,0.080721,-0.096891,0.101368,-0.025441,-0.445809,0
133328,0.642209,0.304449,0.608694,-0.352661,-0.127421,0.118943,-0.113004,0.106137,-0.029959,-0.431874,0
149994,0.641818,0.304906,0.608534,-0.353255,0.222052,0.448971,-0.151405,0.106025,-0.027967,-0.407040,0
166660,0.641429,0.305354,0.608378,-0.353842,0.072535,0.196529,-0.097142,0.108864,-0.029994,-0.387550,0
183326,0.641045,0.305789,0.608228,-0.354419,0.055368,0.073914,-0.095400,0.112998,-0.031925,-0.369488,0
199992,0.640667,0.306208,0.608086,-0.354983,0.125067,0.134287,-0.167580,0.116003,-0.029668,-0.350204,0
216658,0.640298,0.306605,0.607956,-0.355531,0.262783,0.180030,-0.173837,0.116904,-0.024757,-0.327295,0
233324,0.639937,0.306977,0.607838,-0.356059,0.345403,0.176573,-0.193725,0.117359,-0.017301,-0.300266,0
249990,0.639589,0.307320,0.607736,-0.356564,0.240571,0.386552,-0.211059,0.112434,-0.014673,-0.282444,0
266656,0.639260,0.307620,0.607655,-0.357033,0.283584,0.078085,-0.172895,0.113969,-0.011996,-0.261436,0
283322,0.638953,0.307874,0.607597,-0.357461,0.330747,0.226202,-0.082214,0.112008,-0.007877,-0.245180,0
299988,0.638664,0.308091,0.607558,-0.357856,0.345810,0.198258,-0.045902,0.112073,-0.002762,-0.231549,0
316654,0.638388,0.308282,0.607533,-0.358228,0.140533,0.139020,0.028952,0.110887,-0.003663,-0.220161,0
333320,0.638118,0.308456,0.607516,-0.358588,-0.003065,-0.438919,0.103723,0.119034,-0.006664,-0.226278,0
349986,0.637849,0.308623,0.607503,-0.358944,-0.049966,-0.134962,0.095036,0.121597,-0.008337,-0.235039,0
366652,0.637575,0.308793,0.607489,-0.359307,0.090442,-0.038438,0.043806,0.123264,-0.005727,-0.239528,0
383318,0.637292,0.308975,0.607470,-0.359685,-0.045999,0.020755,-0.043382,0.124193,-0.004459,-0.246779,0
399984,0.636994,0.309180,0.607439,-0.360089,-0.120513,0.188486,-0.033534,0.119437,-0.004423,-0.249702,0
416650,0.636674,0.309418,0.607393,-0.360528,-0.200883,-0.263861,-0.013243,0.123654,-0.006488,-0.268304,0
433316,0.636328,0.309697,0.607326,-0.361011,-0.078648,-0.226583,-0.153223,0.125210,-0.003316,-0.290831,0
449982,0.635950,0.310028,0.607234,-0.361548,0.111063,-0.148654,-0.129754,0.125906,0.006502,-0.317392,0
466648,0.635542,0.310403,0.607121,-0.362133,-0.312734,-0.286070,-0.172788,0.129877,0.009867,-0.340070,0
483314,0.635110,0.310809,0.606998,-0.362749,-0.598121,-0.130426,-0.087387,0.130056,0.007368,-0.367241,0
499980,0.634658,0.311241,0.606863,-0.363395,-0.609237,-0.360226,-0.109925,0.134266,0.004201,-0.387704,0
516646,0.634187,0.311698,0.606717,-0.364069,-0.543164,-0.136374,-0.053733,0.132878,0.001645,-0.411434,0
533312,0.633700,0.312178,0.606559,-0.364768,-0.560006,-0.100971,-0.061285,0.129767,-0.000610,-0.434270,0
549978,0.633200,0.312677,0.606390,-0.365489,-0.429646,-0.162911,-0.046426,0.127499,-0.004041,-0.455643,0
566644,0.632688,0.313193,0.606210,-0.366231,-0.663530,-0.280938,-0.084859,0.127553,-0.011909,-0.480887,0
583310,0.632169,0.313724,0.606018,-0.366991,-0.304582,-0.449899,-0.053450,0.130545,-0.014890,-0.499384,0
599976,0.631643,0.314267,0.605814,-0.367767,-0.417960,-0.521685,-0.094888,0.132778,-0.020371,-0.524813,0
616642,0.631114,0.314820,0.605599,-0.368556,-0.366612,-0.728318,-0.040468,0.137321,-0.025038,-0.565423,0
633308,0.630584,0.315380,0.605372,-0.369356,-0.459744,-0.634012,-0.075800,0.142199,-0.030015,-0.605041,0
649974,0.630055,0.315945,0.605134,-0.370166,-0.039906,-0.406525,-0.102612,0.143262,-0.022425,-0.639182,0
666640,0.629516,0.316530,0.604878,-0.371001,-0.083217,0.067261,-0.093453,0.136488,-0.015868,-0.654944,0
683306,0.628956,0.317149,0.604600,-0.371874,-0.040713,0.158570,-0.070153,0.129295,-0.009700,-0.664271,0
699972,0.628379,0.317793,0.604304,-0.372778,-0.018707,0.163308,-0.115726,0.120005,-0.003076,-0.667443,0
716638,0.627792,0.318456,0.603993,-0.373706,0.242736,0.090284,-0.109814,0.115668,0.007428,-0.658887,0
733304,0.627197,0.319130,0.603670,-0.374648,-0.019942,0.147932,-0.091725,0.110773,0.010441,-0.648602,0
749970,0.626602,0.319810,0.603338,-0.375599,0.195365,0.057567,-0.015289,0.109001,0.016900,-0.624187,0
766636,0.626009,0.320488,0.603001,-0.376550,0.122489,0.033823,-0.037396,0.105706,0.020848,-0.601269,0
783302,0.625425,0.321158,0.602660,-0.377494,0.094726,-0.253461,0.032172,0.107062,0.024109,-0.588893,0
799968,0.624855,0.321812,0.602321,-0.378422,0.253909,-0.036236,-0.020278,0.104361,0.028767,-0.575586,0
816634,0.624303,0.322443,0.601985,-0.379328,0.110015,-0.000295,0.098755,0.100456,0.031757,-0.560160,0
833300,0.623775,0.323045,0.601657,-0.380205,0.577544,-0.065907,0.056402,0.097918,0.043704,-0.541251,0
849966,0.623275,0.323612,0.601340,-0.381043,0.024110,-0.106891,0.169220,0.095878,0.045058,-0.529671,0
866632,0.622799,0.324153,0.601025,-0.381857,0.188726,0.054802,0.155949,0.088521,0.049321,-0.519774,0
883298,0.622336,0.324683,0.600706,-0.382663,0.586658,0.105150,0.099458,0.081399,0.059312,-0.500630,0
899964,0.621888,0.325201,0.600383,-0.383458,-0.021136,0.097958,0.203328,0.074191,0.055512,-0.490230,0
916630,0.621453,0.325706,0.600059,-0.384241,0.202015,-0.460181,0.261484,0.075938,0.053849,-0.480661,0
933296,0.621032,0.326195,0.599736,-0.385009,0.028507,-0.304529,0.222863,0.073938,0.048882,-0.466093,0
949962,0.620626,0.326667,0.599417,-0.385761,0.137870,-0.062650,0.185912,0.067434,0.045599,-0.465187,0
966628,0.620234,0.327121,0.599103,-0.386494,0.146194,-0.003961,0.122971,0.059976,0.045187,-0.462403,0
983294,0.619855,0.327555,0.598798,-0.387205,0.053159,-0.279729,0.114490,0.058260,0.044513,-0.456682,0
999960,0.619492,0.327967,0.598503,-0.387894,0.149489,-0.141201,0.082972,0.056272,0.045755,-0.451561,0
1016626,0.619142,0.328357,0.598220,-0.388558,0.160479,-0.448187,0.005643,0.058592,0.048127,-0.455575,0
1033292,0.618808,0.328722,0.597952,-0.389194,0.329553,-0.280054,-0.020143,0.059506,0.053749,-0.452968,0
1049958,0.618488,0.329062,0.597701,-0.389801,0.209080,-0.107410,-0.026656,0.058970,0.057421,-0.446962,0
1066624,0.618186,0.329372,0.597466,-0.390378,0.114061,-0.178634,-0.042166,0.060017,0.058638,-0.429460,0
1083290,0.617903,0.329652,0.597243,-0.390929,0.225815,-0.051284,-0.064828,0.059459,0.062429,-0.405368,0
1099956,0.617639,0.329905,0.597033,-0.391454,0.281152,0.041475,-0.016060,0.057410,0.064815,-0.378649,0
1116622,0.617391,0.330134,0.596834,-0.391956,0.317199,-0.147663,-0.101110,0.058398,0.066913,-0.345913,0
1133288,0.617158,0.330343,0.596645,-0.392434,0.305779,-0.014776,-0.042495,0.056940,0.066164,-0.311276,0
1149954,0.616938,0.330532,0.596467,-0.392891,0.110908,-0.142165,-0.065523,0.057630,0.061591,-0.272467,0
1166620,0.616729,0.330707,0.596298,-0.393328,0.305703,-0.051996,-0.125965,0.055644,0.059668,-0.234240,0
1183286,0.616531,0.330869,0.596137,-0.393746,0.272210,-0.161909,-0.123719,0.054440,0.057478,-0.198839,0
1199952,0.616341,0.331021,0.595985,-0.394147,0.319892,-0.098081,-0.133246,0.051534,0.056195,-0.165713,0
1216618,0.616157,0.331166,0.595839,-0.394531,0.297873,-0.234495,-0.177185,0.049020,0.053585,-0.146733,0
