SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,-0.000000,,,,,,,0
16666,0.999712,-0.023989,0.000000,-0.000000,,,,,,,0
33332,0.999712,-0.023989,0.000000,-0.000000,,,,,,,0
49998,0.875620,-0.016359,0.024271,0.482113,0.005016,-0.034051,0.014442,-0.008433,-0.021566,-0.013957,0
66664,0.875611,-0.016334,0.024288,0.482129,0.066993,0.105129,-0.018539,-0.008455,-0.020808,-0.008650,0
83330,0.875605,-0.016309,0.024305,0.482141,-0.067353,0.028091,-0.017094,-0.008037,-0.021273,-0.005823,0
99996,0.875600,-0.016283,0.024322,0.482149,0.064521,0.212150,0.027514,-0.010262,-0.020839,-0.005453,0
116662,0.875597,-0.016257,0.024340,0.482155,-0.080338,0.057158,-0.018314,-0.009556,-0.020271,0.000118,0
133328,0.875593,-0.016231,0.024357,0.482162,0.292450,-0.007521,-0.001060,-0.009269,-0.016211,-0.000017,0
149994,0.875589,-0.016205,0.024374,0.482170,-0.135356,-0.059671,0.085943,-0.007003,-0.017863,0.003133,0
166660,0.875582,-0.016180,0.024391,0.482182,0.069150,0.374526,0.033842,-0.010307,-0.016802,0.007020,0
183326,0.875573,-0.016156,0.024409,0.482198,0.371491,0.175764,0.014286,-0.011440,-0.012064,0.007128,0
199992,0.875560,-0.016133,0.024425,0.482221,-0.077958,-0.211033,0.018837,-0.008467,-0.013866,0.002360,0
216658,0.875543,-0.016111,0.024442,0.482253,0.256690,0.025307,0.018622,-0.008410,-0.010224,-0.001879,0
233324,0.875520,-0.016091,0.024458,0.482295,0.263717,0.103668,-0.040605,-0.009096,-0.006525,-0.006006,0
249990,0.875490,-0.016073,0.024474,0.482348,0.106552,0.054268,-0.020302,-0.009507,-0.005089,-0.013349,0
266656,0.875453,-0.016057,0.024490,0.482415,0.452391,0.003710,-0.036710,-0.008996,0.000145,-0.020895,0
283322,0.875409,-0.016042,0.024505,0.482495,-0.372281,-0.157163,-0.005682,-0.006403,-0.004698,-0.028328,0
299988,0.875359,-0.016029,0.024520,0.482585,-0.123641,-0.159108,0.073699,-0.004580,-0.007165,-0.034833,0
316654,0.875304,-0.016018,0.024535,0.482685,-0.047528,-0.102504,0.007462,-0.002395,-0.007380,-0.037129,0
333320,0.875245,-0.016007,0.024549,0.482791,-0.263449,-0.091747,0.031420,-0.000883,-0.011513,-0.040895,0
349986,0.875184,-0.015998,0.024564,0.482902,0.019370,-0.030907,0.066073,0.000485,-0.010655,-0.045638,0
366652,0.875121,-0.015989,0.024578,0.483015,0.381021,0.019075,-0.066546,-0.000624,-0.006244,-0.057363,0
