SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
16666,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
33332,0.707107,-0.000000,-0.707107,0.000000,,,,,,,0
49998,0.632111,0.323117,0.626779,-0.321215,-0.135123,-0.025862,-0.072359,0.051569,0.003038,-0.257663,0
66664,0.631935,0.323357,0.626594,-0.321680,-0.165176,0.124441,-0.082857,0.049724,0.003591,-0.258686,0
83330,0.631760,0.323601,0.626402,-0.322151,0.134401,0.012910,-0.052972,0.047054,0.013228,-0.266457,0
99996,0.631586,0.323850,0.626205,-0.322626,-0.032250,-0.137796,-0.069649,0.051789,0.015343,-0.268058,0
116662,0.631412,0.324100,0.626005,-0.323103,-0.017669,-0.281761,-0.129542,0.061662,0.017300,-0.271874,0
133328,0.631238,0.324349,0.625805,-0.323579,-0.037115,-0.301005,-0.031971,0.069487,0.016906,-0.281401,0
149994,0.631064,0.324597,0.625607,-0.324053,0.120384,-0.151458,-0.124354,0.074199,0.022479,-0.289228,0
166660,0.630888,0.324842,0.625414,-0.324524,-0.078525,-0.070113,-0.122017,0.078216,0.019120,-0.287560,0
183326,0.630710,0.325081,0.625228,-0.324988,-0.178456,-0.076667,-0.094613,0.085701,0.015079,-0.277049,0
199992,0.630530,0.325313,0.625052,-0.325444,0.151497,-0.030809,-0.199599,0.088244,0.017213,-0.258471,0
216658,0.630347,0.325536,0.624888,-0.325889,0.034868,-0.026155,-0.183891,0.090391,0.016169,-0.249462,0
233324,0.630162,0.325749,0.624738,-0.326323,-0.081994,-0.095573,-0.237360,0.092359,0.015992,-0.254004,0
249990,0.629972,0.325950,0.624605,-0.326742,0.091740,-0.133874,-0.161452,0.095189,0.011023,-0.249667,0
266656,0.629781,0.326137,0.624491,-0.327141,0.034607,0.115012,-0.115199,0.094657,0.008970,-0.219988,0
283322,0.629588,0.326312,0.624395,-0.327521,0.045655,0.079830,-0.099246,0.094305,0.007072,-0.207261,0
299988,0.629394,0.326477,0.624314,-0.327884,0.078732,0.014049,0.000276,0.092992,0.007536,-0.199028,0
316654,0.629199,0.326633,0.624245,-0.328235,0.146602,0.129235,-0.039170,0.090069,0.008724,-0.191806,0
333320,0.629001,0.326782,0.624186,-0.328577,-0.024466,0.088683,-0.015946,0.087936,0.007770,-0.180279,0
349986,0.628801,0.326925,0.624134,-0.328916,-0.052764,-0.233054,-0.038646,0.097747,0.007116,-0.179482,0
366652,0.628598,0.327066,0.624086,-0.329255,-0.264815,-0.393993,0.078729,0.108318,-0.002315,-0.183195,0
383318,0.628392,0.327204,0.624041,-0.329597,-0.164162,-0.338346,-0.038169,0.116817,-0.005611,-0.192329,0
399984,0.628181,0.327343,0.623994,-0.329948,-0.114484,-0.115473,0.010371,0.116098,-0.006020,-0.203171,0
416650,0.627967,0.327484,0.623944,-0.330311,0.027876,-0.106866,-0.027451,0.115737,-0.004912,-0.206638,0
433316,0.627748,0.327628,0.623888,-0.330690,-0.026128,-0.134114,-0.110598,0.118636,-0.004145,-0.206893,0
449982,0.627523,0.327778,0.623824,-0.331090,-0.014066,-0.194409,0.010930,0.121721,-0.006428,-0.213586,0
466648,0.627292,0.327929,0.623755,-0.331505,0.016384,-0.143847,-0.141081,0.122811,-0.009960,-0.222249,0
483314,0.627055,0.328080,0.623689,-0.331930,0.106670,-0.220902,-0.070094,0.126505,-0.008211,-0.231251,0
499980,0.626812,0.328229,0.623624,-0.332365,0.134448,-0.133859,-0.108338,0.126825,-0.007503,-0.232225,0
516646,0.626564,0.328377,0.623559,-0.332807,0.225678,0.003449,-0.162574,0.128459,-0.000780,-0.231906,0
533312,0.626312,0.328525,0.623493,-0.333258,0.202088,-0.104906,-0.244976,0.131106,0.006692,-0.241708,0
549978,0.626057,0.328675,0.623425,-0.333716,0.225064,0.034224,-0.193880,0.131210,0.015216,-0.239227,0
566644,0.625800,0.328825,0.623355,-0.334182,0.150819,0.067726,-0.219530,0.131510,0.023562,-0.235805,0
583310,0.625542,0.328977,0.623280,-0.334654,0.180655,0.064884,-0.178191,0.131620,0.033949,-0.232917,0
599976,0.625283,0.329132,0.623201,-0.335133,0.120591,0.031856,-0.198129,0.131805,0.044011,-0.231476,0
616642,0.625025,0.329289,0.623116,-0.335617,-0.038125,-0.126577,-0.092415,0.133009,0.047223,-0.233093,0
633308,0.624769,0.329451,0.623023,-0.336107,-0.028188,-0.185040,-0.131630,0.133723,0.053249,-0.242367,0
649974,0.624515,0.329616,0.622924,-0.336602,-0.012133,-0.461940,-0.014091,0.137730,0.052471,-0.266335,0
666640,0.624261,0.329784,0.622815,-0.337107,0.068136,-0.117427,-0.059624,0.132816,0.056861,-0.277027,0
683306,0.624006,0.329954,0.622699,-0.337626,0.028318,-0.058728,-0.074971,0.126118,0.058374,-0.297994,0
699972,0.623751,0.330126,0.622577,-0.338157,-0.107615,-0.022803,-0.100382,0.122149,0.054077,-0.311755,0
716638,0.623494,0.330300,0.622448,-0.338696,0.026210,0.067338,-0.109203,0.120229,0.053289,-0.315303,0
733304,0.623237,0.330476,0.622315,-0.339242,0.037727,-0.031985,-0.153846,0.122406,0.050696,-0.310402,0
749970,0.622980,0.330655,0.622177,-0.339791,-0.064985,0.091219,-0.070330,0.123118,0.043983,-0.291670,0
766636,0.622723,0.330837,0.622037,-0.340342,0.160135,0.128834,-0.109585,0.120566,0.049160,-0.275945,0
783302,0.622467,0.331022,0.621894,-0.340891,-0.030045,0.217077,0.011991,0.115253,0.043131,-0.264105,0
799968,0.622212,0.331211,0.621750,-0.341436,0.078857,0.182626,0.044801,0.108868,0.041439,-0.252809,0
816634,0.621958,0.331403,0.621606,-0.341975,0.188726,0.288445,0.057530,0.098343,0.042313,-0.244735,0
833300,0.621705,0.331600,0.621462,-0.342505,-0.003353,0.064154,0.079321,0.097898,0.040691,-0.244646,0
849966,0.621454,0.331801,0.621319,-0.343023,0.126212,-0.066073,0.048989,0.098375,0.039924,-0.248196,0
866632,0.621202,0.332012,0.621174,-0.343539,-0.015727,-0.070749,0.102407,0.098064,0.040405,-0.255945,0
883298,0.620945,0.332237,0.621022,-0.344059,0.008653,0.034158,0.040758,0.095317,0.042018,-0.265920,0
899964,0.620686,0.332473,0.620865,-0.344582,-0.097264,-0.049212,0.092074,0.092739,0.041432,-0.275777,0
916630,0.620426,0.332715,0.620705,-0.345104,-0.132052,-0.027502,0.102855,0.089935,0.039295,-0.283223,0
933296,0.620167,0.332961,0.620544,-0.345622,-0.226805,-0.169390,0.083423,0.092467,0.035236,-0.288586,0
949962,0.619911,0.333207,0.620383,-0.346133,-0.228749,-0.189902,0.063448,0.092701,0.032283,-0.294312,0
966628,0.619658,0.333450,0.620225,-0.346634,-0.067955,-0.054379,0.113814,0.090185,0.034039,-0.292633,0
983294,0.619412,0.333686,0.620071,-0.347123,-0.152886,-0.112135,0.127701,0.084747,0.032707,-0.291120,0
999960,0.619174,0.333912,0.619923,-0.347595,-0.152723,-0.119599,0.108762,0.078854,0.031826,-0.281027,0
1016626,0.618944,0.334124,0.619784,-0.348047,-0.000574,-0.243627,0.121595,0.074822,0.033174,-0.269459,0
1033292,0.618727,0.334320,0.619654,-0.348478,-0.065689,-0.433368,0.186195,0.073142,0.028764,-0.264507,0
1049958,0.618522,0.334495,0.619535,-0.348884,-0.016666,-0.486992,0.120587,0.072469,0.025811,-0.264433,0
1066624,0.618328,0.334655,0.619426,-0.349269,-0.075186,-0.304487,0.121510,0.068424,0.018261,-0.261621,0
1083290,0.618142,0.334805,0.619322,-0.349638,0.123186,-0.406921,0.010723,0.068188,0.013837,-0.256241,0
1099956,0.617963,0.334946,0.619224,-0.349992,0.278378,-0.355942,-0.008267,0.069947,0.014179,-0.247144,0
1116622,0.617793,0.335077,0.619132,-0.350330,0.441034,-0.131954,-0.062913,0.067981,0.018345,-0.230366,0
1133288,0.617631,0.335198,0.619046,-0.350652,0.381116,-0.021880,-0.167462,0.065047,0.023151,-0.203033,0
1149954,0.617476,0.335309,0.618966,-0.350958,0.517059,-0.035141,-0.268790,0.065469,0.029082,-0.169610,0
1166620,0.617330,0.335409,0.618894,-0.351248,0.300268,0.015723,-0.302809,0.065372,0.032365,-0.140322,0
1183286,0.617191,0.335498,0.618829,-0.351521,0.208065,-0.072648,-0.303687,0.065448,0.033173,-0.112264,0
1199952,0.617060,0.335576,0.618772,-0.351777,0.067901,0.003447,-0.258964,0.062651,0.032398,-0.087841,0
1216618,0.616937,0.335643,0.618722,-0.352015,0.125432,-0.032626,-0.310828,0.059337,0.036283,-0.067519,0
1233284,0.616822,0.335698,0.618682,-0.352237,-0.121386,-0.256624,-0.282082,0.060071,0.032018,-0.054255,0
1249950,0.616715,0.335740,0.618649,-0.352441,-0.093684,-0.293098,-0.161952,0.060314,0.029430,-0.050282,0
1266616,0.616618,0.335766,0.618629,-0.352621,-0.187764,-0.230418,-0.115134,0.054930,0.022465,-0.049566,0
1283282,0.616535,0.335771,0.618621,-0.352775,-0.193192,-0.275513,-0.069134,0.052256,0.015840,-0.045046,0
1299948,0.616463,0.335759,0.618625,-0.352905,-0.091494,-0.238088,-0.011541,0.048239,0.012388,-0.042508,0
1316614,0.616401,0.335732,0.618639,-0.353014,-0.029296,-0.341361,0.029159,0.048807,0.007865,-0.044871,0
1333280,0.616347,0.335695,0.618660,-0.353107,0.245151,-0.283048,-0.006848,0.046714,0.008666,-0.047242,0
1349946,0.616299,0.335649,0.618687,-0.353186,0.215747,-0.319378,0.031460,0.045974,0.006590,-0.053226,0
1366612,0.616256,0.335599,0.618719,-0.353255,0.411944,-0.219988,0.005203,0.046105,0.006543,-0.048304,0
1383278,0.616215,0.335546,0.618753,-0.353318,0.466395,-0.003026,-0.020947,0.044093,0.009690,-0.035215,0
1399944,0.616175,0.335494,0.618787,-0.353377,0.320905,-0.124664,-0.056072,0.051379,0.006253,-0.014810,0
1416610,0.616134,0.335446,0.618820,-0.353436,0.379766,-0.058565,-0.081764,0.058116,0.006086,0.005374,0
1433276,0.616091,0.335405,0.618849,-0.353499,0.330695,-0.008537,-0.161318,0.064536,0.005852,0.026391,0
1449942,0.616043,0.335373,0.618874,-0.353569,0.188720,-0.122301,-0.166737,0.072429,0.006864,0.034719,0
1466608,0.615994,0.335348,0.618895,-0.353641,0.106133,0.159670,-0.085589,0.070477,0.006398,0.041673,0
1483274,0.615947,0.335324,0.618915,-0.353711,0.038841,0.101164,-0.155174,0.069513,0.008733,0.041956,0
1499940,0.615903,0.335300,0.618933,-0.353778,-0.075409,0.124989,-0.106546,0.064625,0.009955,0.035398,0
1516606,0.615860,0.335278,0.618952,-0.353842,-0.181348,0.191379,-0.120329,0.056171,0.010480,0.020951,0
1533272,0.615818,0.335256,0.618971,-0.353902,-0.303378,0.159221,-0.025217,0.045732,0.006357,0.003182,0
1549938,0.615776,0.335235,0.618992,-0.353959,-0.358292,0.031254,0.060738,0.041438,-0.001194,-0.013882,0
1566604,0.615734,0.335215,0.619014,-0.354012,-0.353896,-0.180330,0.168149,0.041083,-0.008515,-0.030722,0
1583270,0.615691,0.335196,0.619038,-0.354062,0.017480,-0.201893,0.146514,0.040445,-0.009569,-0.045845,0
1599936,0.615647,0.335179,0.619065,-0.354108,0.078656,-0.070005,0.092912,0.037002,-0.009796,-0.052317,0
1616602,0.615600,0.335163,0.619096,-0.354150,0.234074,0.141519,0.150969,0.024971,-0.004598,-0.061219,0
1633268,0.615551,0.335149,0.619131,-0.354187,0.168959,0.055844,0.113040,0.019157,-0.003783,-0.061011,0
1649934,0.615499,0.335136,0.619171,-0.354221,0.207976,0.006487,0.131256,0.017482,-0.003803,-0.056325,0
1666600,0.615442,0.335127,0.619218,-0.354246,0.241829,-0.036134,0.054107,0.021538,-0.002952,-0.046011,0
1683266,0.615383,0.335120,0.619272,-0.354261,-0.030061,-0.152944,0.150161,0.028746,-0.011704,-0.029868,0
1699932,0.615320,0.335117,0.619332,-0.354268,-0.021359,-0.139162,0.099280,0.036780,-0.017176,-0.013515,0
1716598,0.615256,0.335116,0.619396,-0.354268,-0.013017,-0.083127,0.052308,0.042853,-0.019055,-0.000682,0
1733264,0.615189,0.335116,0.619464,-0.354265,-0.075904,0.062255,0.116850,0.043941,-0.025601,0.012572,0
1749930,0.615122,0.335117,0.619533,-0.354260,-0.086765,-0.120719,0.035538,0.047330,-0.027388,0.013589,0
1766596,0.615055,0.335117,0.619602,-0.354255,-0.260630,0.030163,0.032780,0.047451,-0.032297,0.012311,0
1783262,0.614989,0.335117,0.619669,-0.354254,-0.291448,-0.058907,-0.064539,0.053112,-0.036552,0.012359,0
1799928,0.614923,0.335115,0.619733,-0.354258,-0.282469,-0.041568,-0.032875,0.059134,-0.038333,0.008902,0
1816594,0.614860,0.335110,0.619792,-0.354269,-0.163972,-0.124049,-0.024254,0.066363,-0.037905,0.002533,0
1833260,0.614798,0.335103,0.619845,-0.354290,-0.066433,0.034084,-0.101416,0.069592,-0.033528,-0.003440,0
1849926,0.614740,0.335091,0.619890,-0.354323,-0.038470,0.106287,-0.121528,0.066448,-0.026727,-0.010357,0
1866592,0.614686,0.335076,0.619927,-0.354366,0.076076,0.196263,-0.144819,0.057085,-0.018652,-0.021886,0
1883258,0.614635,0.335056,0.619959,-0.354417,0.101083,0.153067,-0.155500,0.051095,-0.010029,-0.027857,0
1899924,0.614586,0.335034,0.619987,-0.354475,0.101464,0.129676,-0.107982,0.044202,-0.004187,-0.035647,0
1916590,0.614539,0.335010,0.620010,-0.354539,0.033826,0.028350,-0.097578,0.043710,-0.001820,-0.035657,0
1933256,0.614494,0.334983,0.620030,-0.354608,0.131737,0.054274,-0.040637,0.043528,0.003236,-0.033332,0
1949922,0.614448,0.334956,0.620048,-0.354681,0.248678,0.049575,-0.106992,0.042828,0.010909,-0.026157,0
1966588,0.614403,0.334928,0.620064,-0.354758,0.185078,0.173861,-0.093482,0.039838,0.016637,-0.016863,0
1983254,0.614356,0.334901,0.620079,-0.354837,0.065301,0.039528,-0.105345,0.039200,0.020185,-0.015741,0
1999920,0.614308,0.334875,0.620094,-0.354920,0.018100,0.085954,-0.073701,0.036525,0.024466,-0.011327,0
2016586,0.614258,0.334850,0.620109,-0.355003,-0.115920,0.006003,-0.076785,0.036218,0.025283,-0.007106,0
2033252,0.614205,0.334827,0.620126,-0.355087,-0.161890,-0.035359,-0.067381,0.038117,0.024046,-0.001131,0
2049918,0.614147,0.334807,0.620146,-0.355171,-0.292392,-0.111899,0.011687,0.041196,0.018863,-0.001615,0
2066584,0.614087,0.334789,0.620167,-0.355255,-0.226272,-0.115370,0.090315,0.040844,0.015001,-0.009204,0
2083250,0.614023,0.334772,0.620191,-0.355340,-0.252700,-0.228688,0.072632,0.047039,0.011067,-0.018282,0
2099916,0.613957,0.334756,0.620216,-0.355425,-0.096660,-0.119404,0.088472,0.046613,0.006642,-0.025556,0
2116582,0.613889,0.334741,0.620241,-0.355512,-0.076757,-0.028340,0.011411,0.047440,0.003810,-0.031599,0
