SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
16666,0.999797,-0.000000,0.000000,-0.020149,,,,,,,0
33332,0.489824,-0.489824,0.509973,-0.509973,,,,,,,0
49998,0.444718,0.574624,-0.387362,0.567436,0.000341,0.122183,-0.085243,-0.047572,-0.024089,0.046310,0
66664,0.444588,0.574686,-0.387412,0.567441,0.019274,0.173679,-0.008816,-0.047071,-0.023740,0.047659,0
83330,0.444456,0.574750,-0.387460,0.567448,-0.066117,0.056004,-0.052785,-0.043495,-0.025332,0.049129,0
99996,0.444321,0.574815,-0.387507,0.567455,-0.075373,0.183227,-0.005636,-0.043450,-0.025219,0.048865,0
116662,0.444186,0.574881,-0.387553,0.567463,-0.007020,0.323234,0.016896,-0.046264,-0.026340,0.045665,0
133328,0.444050,0.574946,-0.387600,0.567470,0.046980,0.100007,-0.071644,-0.044578,-0.025256,0.042014,0
149994,0.443916,0.575012,-0.387647,0.567477,0.115212,0.343309,-0.004064,-0.047730,-0.023615,0.039437,0
166660,0.443783,0.575075,-0.387695,0.567484,0.098099,0.166308,-0.026773,-0.048729,-0.022310,0.036451,0
183326,0.443653,0.575137,-0.387744,0.567489,-0.027236,0.141108,-0.001147,-0.048300,-0.022932,0.033029,0
199992,0.443526,0.575197,-0.387795,0.567493,-0.052712,0.185898,0.060778,-0.048481,-0.024229,0.034099,0
216658,0.443405,0.575253,-0.387848,0.567495,0.046426,0.113983,-0.014461,-0.047481,-0.023171,0.030370,0
233324,0.443288,0.575306,-0.387903,0.567494,0.025117,0.105987,-0.006539,-0.045461,-0.021674,0.026124,0
249990,0.443178,0.575355,-0.387961,0.567491,-0.007624,0.330029,0.003577,-0.048282,-0.020957,0.023243,0
266656,0.443072,0.575399,-0.388022,0.567487,-0.149456,0.184855,0.025407,-0.047527,-0.023479,0.022043,0
283322,0.442967,0.575440,-0.388085,0.567485,0.022877,0.092459,0.050334,-0.045331,-0.022081,0.019256,0
299988,0.442865,0.575477,-0.388149,0.567483,0.179279,0.209592,-0.035320,-0.046008,-0.018098,0.018301,0
316654,0.442765,0.575512,-0.388215,0.567481,-0.299861,0.174514,0.107859,-0.045698,-0.023992,0.015297,0
333320,0.442668,0.575544,-0.388283,0.567477,0.131026,0.113182,-0.024321,-0.043916,-0.020118,0.010620,0
349986,0.442577,0.575574,-0.388352,0.567471,-0.161374,0.169541,0.126940,-0.043270,-0.021081,0.010787,0
366652,0.442490,0.575603,-0.388423,0.567461,-0.052730,0.067767,0.063261,-0.040358,-0.021418,0.008852,0
383318,0.442410,0.575630,-0.388496,0.567446,-0.068334,0.126779,0.010554,-0.038343,-0.022110,0.007279,0
399984,0.442336,0.575656,-0.388570,0.567426,-0.088632,0.026565,0.055380,-0.034862,-0.021346,0.002981,0
416650,0.442269,0.575682,-0.388646,0.567400,-0.210863,0.185803,0.135917,-0.034360,-0.023453,0.004440,0
433316,0.442211,0.575708,-0.388724,0.567366,0.004305,0.065061,0.058092,-0.030442,-0.021597,0.002638,0
449982,0.442163,0.575734,-0.388803,0.567323,-0.156560,0.064780,0.072355,-0.026993,-0.021454,-0.002005,0
466648,0.442122,0.575761,-0.388883,0.567272,-0.120186,-0.004237,0.078242,-0.021753,-0.022383,-0.004946,0
483314,0.442088,0.575789,-0.388963,0.567215,-0.166464,0.053930,0.126015,-0.019207,-0.023384,-0.008785,0
499980,0.442062,0.575818,-0.389043,0.567151,-0.194698,0.268799,0.082745,-0.019966,-0.024135,-0.011312,0
516646,0.442042,0.575847,-0.389124,0.567082,-0.165467,-0.053913,0.089520,-0.013101,-0.025131,-0.016612,0
533312,0.442028,0.575875,-0.389207,0.567007,0.059556,0.099582,0.032040,-0.011319,-0.021056,-0.021118,0
549978,0.442022,0.575902,-0.389292,0.566926,-0.107766,0.110126,0.060671,-0.010645,-0.020634,-0.030774,0
566644,0.442022,0.575926,-0.389380,0.566841,-0.196691,0.050014,0.056885,-0.008322,-0.021382,-0.033540,0
583310,0.442029,0.575947,-0.389472,0.566752,0.006322,-0.056226,0.038266,-0.003672,-0.018433,-0.041734,0
599976,0.442042,0.575964,-0.389568,0.566658,-0.110566,0.116632,0.061341,-0.002612,-0.018135,-0.048274,0
616642,0.442062,0.575976,-0.389668,0.566561,-0.273493,0.095929,0.070734,-0.002714,-0.020445,-0.059329,0
633308,0.442089,0.575983,-0.389774,0.566460,0.109939,0.194187,0.025695,-0.003218,-0.015228,-0.064875,0
649974,0.442122,0.575984,-0.389885,0.566357,-0.182578,0.037728,0.036625,-0.002155,-0.014636,-0.071573,0
666640,0.442165,0.575978,-0.390003,0.566248,-0.179135,0.072935,0.049774,-0.001720,-0.015830,-0.077102,0
683306,0.442220,0.575967,-0.390127,0.566131,-0.074352,-0.133770,0.067098,0.002036,-0.013751,-0.082875,0
699972,0.442285,0.575952,-0.390255,0.566007,-0.258441,0.261095,0.049296,-0.002261,-0.015799,-0.086588,0
716638,0.442358,0.575932,-0.390388,0.565878,-0.174602,0.076872,0.031539,-0.002289,-0.016005,-0.089252,0
733304,0.442438,0.575908,-0.390526,0.565745,-0.044627,-0.032554,0.042194,-0.001563,-0.013340,-0.089175,0
749970,0.442523,0.575881,-0.390666,0.565610,-0.128340,0.139307,0.003161,-0.004711,-0.012479,-0.091672,0
766636,0.442611,0.575850,-0.390810,0.565472,-0.236396,0.146916,0.082448,-0.007061,-0.013180,-0.091608,0
783302,0.442701,0.575818,-0.390956,0.565335,-0.088834,-0.023417,-0.006756,-0.006207,-0.011492,-0.091791,0
799968,0.442790,0.575783,-0.391104,0.565198,-0.103638,0.077776,-0.002111,-0.007581,-0.010138,-0.091869,0
816634,0.442877,0.575746,-0.391254,0.565063,-0.148461,-0.061013,0.002376,-0.006348,-0.009718,-0.094814,0
833300,0.442961,0.575708,-0.391404,0.564932,-0.310761,0.102193,0.019851,-0.007489,-0.011219,-0.090496,0
849966,0.443039,0.575670,-0.391554,0.564806,-0.129281,0.167972,-0.052101,-0.010229,-0.010474,-0.089106,0
866632,0.443112,0.575630,-0.391706,0.564684,-0.244842,0.119772,-0.038961,-0.013026,-0.013129,-0.089101,0
883298,0.443180,0.575588,-0.391859,0.564567,-0.100137,0.038582,-0.059885,-0.013721,-0.011626,-0.092683,0
899964,0.443245,0.575544,-0.392013,0.564453,-0.110848,0.147531,0.013772,-0.016241,-0.012331,-0.090254,0
916630,0.443309,0.575498,-0.392170,0.564342,-0.234461,0.095810,-0.093309,-0.017255,-0.013866,-0.090329,0
933296,0.443373,0.575450,-0.392328,0.564231,-0.148538,0.193459,-0.013877,-0.019115,-0.015379,-0.090653,0
949962,0.443437,0.575400,-0.392489,0.564120,-0.078377,0.105895,0.007494,-0.021711,-0.015222,-0.094396,0
966628,0.443504,0.575347,-0.392651,0.564007,-0.118415,0.148611,-0.037038,-0.023263,-0.015163,-0.093700,0
983294,0.443575,0.575293,-0.392816,0.563892,-0.072884,0.221055,-0.077513,-0.024540,-0.014112,-0.094511,0
999960,0.443651,0.575237,-0.392982,0.563774,-0.299102,0.091546,0.007979,-0.024718,-0.018856,-0.098391,0
1016626,0.443733,0.575180,-0.393151,0.563650,-0.126750,0.205722,-0.069203,-0.026283,-0.018894,-0.103114,0
1033292,0.443823,0.575120,-0.393321,0.563521,0.046820,0.039292,-0.027384,-0.023958,-0.016013,-0.109467,0
1049958,0.443922,0.575059,-0.393494,0.563384,0.009498,0.136021,-0.075592,-0.023164,-0.013988,-0.114361,0
1066624,0.444029,0.574994,-0.393673,0.563242,-0.163449,-0.054847,0.003267,-0.018254,-0.015792,-0.117289,0
1083290,0.444142,0.574924,-0.393860,0.563094,-0.071144,0.277733,0.002413,-0.020300,-0.014600,-0.123946,0
1099956,0.444261,0.574849,-0.394052,0.562942,-0.004813,0.010529,-0.036890,-0.018071,-0.011945,-0.129471,0
1116622,0.444384,0.574772,-0.394249,0.562786,-0.233763,0.089222,0.018301,-0.016181,-0.015303,-0.131631,0
1133288,0.444513,0.574692,-0.394448,0.562626,0.086467,0.119257,0.029950,-0.014630,-0.010764,-0.135126,0
1149954,0.444646,0.574612,-0.394647,0.562463,-0.125127,-0.008705,0.059743,-0.010808,-0.010747,-0.141913,0
1166620,0.444785,0.574532,-0.394843,0.562297,-0.076667,0.085572,0.002643,-0.006677,-0.008988,-0.141591,0
1183286,0.444927,0.574455,-0.395036,0.562128,-0.100567,0.128714,0.042910,-0.005297,-0.007759,-0.139455,0
1199952,0.445073,0.574380,-0.395223,0.561957,-0.203473,0.081843,0.119074,-0.002707,-0.007837,-0.139478,0
