SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,-0.000000,,,,,,,0
16666,0.999712,-0.024018,0.000000,-0.000000,,,,,,,0
33332,0.999712,-0.024018,0.000000,-0.000000,,,,,,,0
49998,-0.520014,0.005601,0.008636,0.854096,-0.034558,-0.056236,-0.010968,-0.005108,0.000750,-0.021550,0
66664,0.519605,-0.005578,-0.008677,-0.854344,-0.123774,0.060406,0.073309,-0.006353,-0.000913,-0.020060,0
83330,0.519188,-0.005553,-0.008720,-0.854598,0.041822,-0.045141,-0.019572,-0.006212,0.000390,-0.017107,0
99996,0.518763,-0.005528,-0.008763,-0.854855,-0.026375,0.183428,0.066087,-0.010069,-0.000370,-0.015697,0
116662,0.518335,-0.005502,-0.008807,-0.855115,0.122030,0.140087,-0.007896,-0.011781,0.001731,-0.008521,0
133328,0.517907,-0.005476,-0.008851,-0.855374,0.136133,0.043034,-0.025217,-0.013433,0.003976,-0.003103,0
149994,0.517482,-0.005451,-0.008895,-0.855630,0.028135,-0.050589,-0.043191,-0.012397,0.004175,0.000177,0
166660,0.517063,-0.005426,-0.008937,-0.855883,0.156093,-0.050471,0.021913,-0.011822,0.005774,-0.004839,0
183326,0.516655,-0.005403,-0.008979,-0.856130,-0.005504,0.088758,-0.025322,-0.012255,0.005277,-0.006747,0
199992,0.516258,-0.005381,-0.009019,-0.856369,-0.033246,-0.067129,0.042674,-0.011273,0.003955,-0.010367,0
216658,0.515879,-0.005361,-0.009057,-0.856597,-0.291273,-0.136994,0.065067,-0.008040,-0.000627,-0.009414,0
233324,0.515518,-0.005343,-0.009093,-0.856814,-0.151148,0.063243,0.010257,-0.006914,-0.003423,-0.012354,0
249990,-0.515180,0.005328,0.009126,0.857017,-0.006170,0.053671,0.028047,-0.006869,-0.003593,-0.013140,0
