SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
16666,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
33332,0.707107,-0.000000,0.707107,0.000000,,,,,,,0
49998,-0.391885,-0.592565,0.319260,-0.627189,-0.077315,0.136100,-0.088147,-0.041680,-0.032239,0.036019,0
66664,0.391741,0.592703,-0.319347,0.627104,-0.025362,0.116221,-0.087081,-0.041042,-0.032057,0.037275,0
83330,0.391592,0.592844,-0.319431,0.627021,-0.084882,0.069953,-0.014177,-0.039748,-0.033419,0.033838,0
99996,0.391440,0.592986,-0.319514,0.626939,0.022260,0.152850,-0.111202,-0.040419,-0.030782,0.036236,0
116662,0.391287,0.593129,-0.319596,0.626858,-0.142732,0.056499,0.004899,-0.038352,-0.034414,0.033532,0
133328,0.391133,0.593272,-0.319679,0.626776,0.006901,0.127537,-0.048197,-0.039112,-0.032990,0.034023,0
149994,0.390981,0.593415,-0.319762,0.626694,-0.085535,0.086512,-0.019587,-0.037993,-0.033661,0.032735,0
166660,0.390832,0.593555,-0.319846,0.626611,0.003139,0.046316,-0.021525,-0.036100,-0.033469,0.029812,0
183326,0.390688,0.593694,-0.319932,0.626525,0.094748,0.087522,-0.021693,-0.034065,-0.030405,0.025115,0
199992,0.390550,0.593828,-0.320021,0.626438,-0.041041,0.003814,0.046233,-0.031487,-0.030858,0.018203,0
216658,0.390420,0.593959,-0.320113,0.626348,-0.048257,-0.015234,0.054051,-0.027746,-0.031198,0.012612,0
233324,0.390300,0.594085,-0.320209,0.626255,-0.091253,0.165604,-0.007129,-0.027784,-0.032744,0.011006,0
249990,-0.390190,-0.594206,0.320310,-0.626157,-0.026881,0.009321,0.040193,-0.025469,-0.032593,0.003673,0
266656,0.390091,0.594321,-0.320415,0.626056,-0.026818,0.002800,0.006568,-0.025352,-0.031975,-0.004001,0
283322,0.389999,0.594434,-0.320524,0.625951,-0.077999,0.080082,0.030928,-0.025373,-0.033091,-0.008231,0
299988,0.389914,0.594542,-0.320637,0.625843,-0.101408,0.073769,0.030995,-0.024849,-0.033084,-0.013632,0
316654,0.389835,0.594648,-0.320752,0.625732,-0.054040,0.027769,0.040932,-0.021998,-0.032387,-0.015396,0
333320,0.389763,0.594750,-0.320871,0.625619,-0.110817,-0.019108,0.033271,-0.019091,-0.033067,-0.015429,0
349986,0.389697,0.594849,-0.320991,0.625504,-0.128386,0.063100,0.005025,-0.019645,-0.032554,-0.017237,0
366652,0.389637,0.594945,-0.321113,0.625388,-0.083006,0.009497,0.017723,-0.018973,-0.033242,-0.021347,0
383318,0.389581,0.595038,-0.321236,0.625270,-0.130210,-0.098285,0.070203,-0.015132,-0.031605,-0.021254,0
399984,0.389531,0.595128,-0.321361,0.625152,-0.124256,-0.014215,0.050523,-0.015649,-0.032360,-0.021723,0
416650,0.389484,0.595216,-0.321485,0.625034,-0.168020,0.058251,-0.019706,-0.017697,-0.032085,-0.020591,0
433316,0.389441,0.595300,-0.321610,0.624917,-0.151198,-0.075701,0.068149,-0.015828,-0.032576,-0.024593,0
449982,-0.389402,-0.595382,0.321734,-0.624799,-0.073041,-0.023688,-0.016970,-0.015605,-0.029798,-0.029068,0
466648,0.389366,0.595461,-0.321857,0.624683,-0.177745,-0.009565,0.054250,-0.015627,-0.030167,-0.028883,0
483314,0.389334,0.595538,-0.321978,0.624567,-0.110432,-0.027385,0.044089,-0.015664,-0.028606,-0.032163,0
499980,0.389307,0.595612,-0.322100,0.624450,-0.221648,-0.084731,0.085890,-0.013179,-0.031831,-0.035303,0
516646,0.389284,0.595684,-0.322221,0.624333,-0.021493,0.021147,-0.041811,-0.014228,-0.025898,-0.036743,0
533312,0.389265,0.595753,-0.322344,0.624215,-0.157085,-0.077496,0.034506,-0.014445,-0.025733,-0.039849,0
549978,0.389252,0.595819,-0.322468,0.624097,-0.211615,-0.049384,0.066416,-0.012640,-0.025616,-0.041606,0
566644,0.389243,0.595882,-0.322594,0.623978,-0.189131,-0.092730,0.046001,-0.012043,-0.026619,-0.044003,0
583310,0.389240,0.595940,-0.322722,0.623857,-0.128914,-0.085320,0.013134,-0.008883,-0.025844,-0.047233,0
599976,0.389243,0.595995,-0.322854,0.623735,-0.118508,-0.034916,-0.045051,-0.009760,-0.021573,-0.050486,0
616642,0.389251,0.596045,-0.322990,0.623612,-0.265258,0.011761,0.067191,-0.011581,-0.026750,-0.054017,0
633308,0.389265,0.596091,-0.323131,0.623486,-0.081118,-0.070033,0.042677,-0.009591,-0.021809,-0.058860,0
649974,-0.389285,-0.596132,0.323277,-0.623358,-0.107541,-0.011841,-0.012769,-0.009925,-0.020453,-0.063543,0
666640,0.389311,0.596169,-0.323428,0.623229,-0.186957,-0.028228,0.054326,-0.010056,-0.020484,-0.069943,0
683306,0.389344,0.596201,-0.323582,0.623098,-0.269551,0.034709,0.082028,-0.009241,-0.021213,-0.072901,0
699972,0.389382,0.596229,-0.323739,0.622965,-0.094316,0.005521,0.013116,-0.008251,-0.020196,-0.078955,0
716638,0.389426,0.596253,-0.323899,0.622831,-0.117741,0.127500,0.036084,-0.012711,-0.019468,-0.082584,0
733304,0.389475,0.596273,-0.324063,0.622696,-0.205755,0.059675,0.107464,-0.010805,-0.021758,-0.081353,0
749970,0.389530,0.596290,-0.324230,0.622559,-0.108939,0.114656,-0.020362,-0.013686,-0.018479,-0.085982,0
766636,0.389590,0.596302,-0.324401,0.622421,-0.152630,0.123696,0.044574,-0.017912,-0.019151,-0.089296,0
783302,0.389655,0.596311,-0.324575,0.622281,-0.148904,0.165285,0.007895,-0.019509,-0.016748,-0.088844,0
799968,0.389725,0.596315,-0.324753,0.622140,-0.154275,0.094788,0.052888,-0.021992,-0.016851,-0.089886,0
816634,0.389799,0.596316,-0.324934,0.621997,-0.143180,0.062445,0.007617,-0.022946,-0.017230,-0.093531,0
833300,0.389879,0.596314,-0.325119,0.621854,-0.089036,-0.008911,-0.017976,-0.023651,-0.015289,-0.099326,0
849966,-0.389963,-0.596308,0.325308,-0.621708,-0.100577,0.053426,0.001304,-0.024289,-0.013903,-0.103454,0
866632,0.390051,0.596296,-0.325502,0.621562,-0.099185,0.006792,-0.019584,-0.025142,-0.011705,-0.106873,0
883298,0.390146,0.596277,-0.325703,0.621415,-0.095618,0.016485,0.009949,-0.024284,-0.010211,-0.111451,0
899964,0.390246,0.596253,-0.325910,0.621268,-0.179692,0.025366,-0.027162,-0.023409,-0.012744,-0.117391,0
916630,0.390351,0.596223,-0.326121,0.621119,-0.150364,0.074158,0.032786,-0.021670,-0.011100,-0.119745,0
933296,0.390461,0.596190,-0.326336,0.620968,-0.138025,0.163119,-0.039330,-0.023857,-0.011707,-0.123149,0
949962,0.390576,0.596155,-0.326554,0.620816,-0.198695,0.099788,0.035845,-0.023525,-0.012512,-0.126948,0
966628,0.390695,0.596117,-0.326772,0.620662,-0.262874,0.095873,-0.034833,-0.023898,-0.014520,-0.126780,0
983294,0.390819,0.596079,-0.326991,0.620506,-0.152010,0.082116,0.030762,-0.022740,-0.013198,-0.130239,0
999960,0.390946,0.596041,-0.327209,0.620348,-0.197553,0.041001,-0.060854,-0.023993,-0.014682,-0.131620,0
1016626,0.391076,0.596004,-0.327425,0.620187,-0.252210,-0.007750,-0.042811,-0.023313,-0.016969,-0.136519,0
1033292,0.391210,0.595970,-0.327637,0.620023,-0.175721,0.051202,0.010734,-0.023183,-0.016055,-0.139894,0
1049958,-0.391347,-0.595939,0.327846,-0.619856,-0.104990,-0.127943,-0.031410,-0.017871,-0.016154,-0.142057,0
1066624,0.391490,0.595906,-0.328056,0.619686,-0.101872,0.026969,-0.070825,-0.019766,-0.016790,-0.146941,0
1083290,0.391639,0.595868,-0.328274,0.619512,-0.036765,-0.114686,-0.080324,-0.017552,-0.013569,-0.149872,0
1099956,0.391795,0.595827,-0.328497,0.619336,0.020505,-0.042645,-0.019860,-0.017437,-0.011004,-0.153429,0
1116622,0.391956,0.595784,-0.328722,0.619156,-0.054901,-0.116579,-0.024223,-0.015090,-0.007556,-0.152555,0
1133288,0.392121,0.595741,-0.328946,0.618974,-0.056825,-0.072348,0.054824,-0.012940,-0.006417,-0.148720,0
1149954,0.392288,0.595700,-0.329165,0.618790,-0.140059,-0.141078,-0.001568,-0.009714,-0.006822,-0.148666,0
1166620,0.392457,0.595663,-0.329379,0.618605,-0.053609,-0.115174,0.064612,-0.005612,-0.005366,-0.144180,0
1183286,0.392626,0.595633,-0.329582,0.618418,-0.025568,-0.084953,0.045871,-0.002543,-0.000590,-0.141087,0
1199952,0.392795,0.595611,-0.329773,0.618231,-0.077254,-0.155279,0.026701,0.003739,-0.000449,-0.137642,0
1216618,0.392961,0.595598,-0.329949,0.618044,-0.114619,-0.171128,0.063798,0.007666,-0.003036,-0.131304,0
1233284,0.393125,0.595598,-0.330106,0.617856,-0.031198,-0.150631,0.016141,0.014867,0.000538,-0.122053,0
1249950,-0.393284,-0.595611,0.330243,-0.617669,-0.086742,-0.223518,0.090407,0.018665,0.000587,-0.111859,0
1266616,0.393441,0.595639,-0.330356,0.617482,-0.073734,-0.220036,0.060036,0.025626,0.002723,-0.103017,0
1283282,0.393599,0.595679,-0.330448,0.617292,-0.233782,-0.315561,0.045085,0.032175,0.001161,-0.095926,0
1299948,0.393759,0.595731,-0.330522,0.617101,-0.046304,-0.395228,0.007633,0.038274,0.002815,-0.090925,0
1316614,0.393918,0.595792,-0.330581,0.616909,-0.161935,-0.291059,0.083274,0.041873,0.001159,-0.087230,0
1333280,0.394076,0.595861,-0.330627,0.616716,-0.063341,-0.409085,0.002717,0.049181,0.006434,-0.084621,0
1349946,0.394233,0.595937,-0.330664,0.616523,-0.044820,-0.358372,0.066952,0.050348,0.011077,-0.080411,0
1366612,0.394387,0.596018,-0.330694,0.616330,-0.117352,-0.324631,0.081998,0.055051,0.010977,-0.078276,0
1383278,0.394539,0.596102,-0.330719,0.616138,-0.177477,-0.473877,0.060313,0.061710,0.011550,-0.077535,0
1399944,0.394687,0.596189,-0.330744,0.615946,-0.120113,-0.243328,0.027246,0.061754,0.015126,-0.071987,0
1416610,0.394831,0.596275,-0.330770,0.615756,-0.242526,-0.323898,0.068838,0.064658,0.012767,-0.069501,0
1433276,0.394969,0.596361,-0.330801,0.615567,-0.354939,-0.210809,0.058846,0.063650,0.008511,-0.065001,0
1449942,-0.395103,-0.596445,0.330839,-0.615381,-0.262494,-0.283357,0.057137,0.065792,0.008231,-0.060137,0
1466608,0.395227,0.596532,-0.330873,0.615197,-0.270979,-0.236767,-0.003988,0.066587,0.007505,-0.055466,0
1483274,0.395343,0.596631,-0.330893,0.615017,-0.402072,-0.149293,-0.003366,0.063648,0.003021,-0.053763,0
1499940,0.395450,0.596737,-0.330903,0.614839,-0.427136,-0.181902,-0.050302,0.063669,0.000256,-0.050186,0
1516606,0.395553,0.596848,-0.330907,0.614663,-0.407746,-0.116869,-0.061952,0.059601,-0.004969,-0.050771,0
1533272,0.395651,0.596962,-0.330909,0.614488,-0.555927,-0.178069,-0.032690,0.059358,-0.011472,-0.050656,0
1549938,0.395749,0.597074,-0.330916,0.614313,-0.446611,-0.090474,-0.124274,0.056175,-0.013241,-0.049961,0
1566604,0.395846,0.597183,-0.330929,0.614137,-0.561108,-0.099219,-0.053767,0.052907,-0.017752,-0.051034,0
1583270,0.395946,0.597285,-0.330955,0.613960,-0.422553,0.073683,-0.103622,0.046596,-0.020495,-0.054778,0
1599936,0.396050,0.597377,-0.330998,0.613780,-0.358005,-0.011228,-0.180472,0.042079,-0.020160,-0.059397,0
1616602,0.396159,0.597458,-0.331061,0.613597,-0.418550,-0.007299,-0.087565,0.038759,-0.023218,-0.065621,0
1633268,0.396277,0.597523,-0.331149,0.613409,-0.371950,0.085503,-0.138787,0.034824,-0.024537,-0.070163,0
1649934,-0.396405,-0.597570,0.331268,-0.613217,-0.451402,0.106646,-0.098272,0.031121,-0.030908,-0.081240,0
1666600,0.396541,0.597600,-0.331417,0.613019,-0.316749,0.158751,-0.133328,0.025267,-0.031548,-0.092120,0
1683266,0.396681,0.597616,-0.331593,0.612817,-0.382148,0.125109,-0.061562,0.020156,-0.034893,-0.103082,0
1699932,0.396826,0.597621,-0.331793,0.612611,-0.354179,0.166666,-0.046085,0.015669,-0.037536,-0.113760,0
1716598,0.396975,0.597614,-0.332012,0.612402,-0.312627,0.277366,-0.068925,0.005464,-0.041355,-0.127259,0
1733264,0.397127,0.597598,-0.332248,0.612191,-0.276723,0.238967,-0.039777,-0.000397,-0.043789,-0.138621,0
1749930,0.397284,0.597574,-0.332497,0.611978,-0.293206,0.155236,0.026449,-0.003080,-0.044680,-0.151225,0
1766596,0.397445,0.597543,-0.332755,0.611763,-0.263432,0.221489,-0.014261,-0.010759,-0.045511,-0.160368,0
1783262,0.397610,0.597506,-0.333019,0.611548,-0.270092,0.128386,-0.001265,-0.014376,-0.044623,-0.171725,0
1799928,0.397779,0.597466,-0.333287,0.611332,-0.322685,0.144506,0.011260,-0.019114,-0.048249,-0.182577,0
1816594,0.397951,0.597422,-0.333553,0.611117,-0.335079,0.031852,0.030929,-0.024093,-0.050931,-0.191825,0
1833260,0.398127,0.597378,-0.333815,0.610903,-0.177110,0.039646,-0.024588,-0.026002,-0.047130,-0.198830,0
1849926,0.398307,0.597333,-0.334069,0.610691,-0.249192,-0.080927,0.008117,-0.028017,-0.045061,-0.205368,0
1866592,0.398499,0.597277,-0.334333,0.610476,-0.257296,-0.133516,-0.028932,-0.027245,-0.045310,-0.209348,0
1883258,0.398709,0.597201,-0.334623,0.610254,-0.234346,-0.191692,-0.050772,-0.026251,-0.043962,-0.212830,0
1899924,0.398933,0.597111,-0.334931,0.610027,-0.188751,-0.203170,-0.104803,-0.024208,-0.042709,-0.213844,0
1916590,0.399165,0.597011,-0.335249,0.609797,-0.164229,-0.309957,-0.092711,-0.022841,-0.039173,-0.214201,0
1933256,0.399401,0.596908,-0.335570,0.609568,-0.245101,-0.316239,-0.130327,-0.020140,-0.038664,-0.212282,0
1949922,0.399635,0.596805,-0.335886,0.609341,-0.143491,-0.371951,-0.161165,-0.017389,-0.035219,-0.207286,0
1966588,0.399865,0.596709,-0.336189,0.609118,-0.142389,-0.422891,-0.099277,-0.012291,-0.030835,-0.197387,0
1983254,0.400083,0.596624,-0.336471,0.608901,-0.188670,-0.356516,-0.155688,-0.008676,-0.027841,-0.184028,0
1999920,0.400287,0.596556,-0.336726,0.608694,-0.251035,-0.497692,-0.094337,-0.002023,-0.026744,-0.170045,0
2016586,0.400470,0.596509,-0.336944,0.608497,-0.276595,-0.533180,-0.063652,0.004430,-0.023036,-0.151967,0
2033252,0.400628,0.596491,-0.337119,0.608314,-0.249897,-0.533579,-0.062734,0.010783,-0.020195,-0.131503,0
2049918,0.400757,0.596504,-0.337243,0.608147,-0.349779,-0.423601,-0.122538,0.014027,-0.019077,-0.109196,0
