SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,-0.000000,,,,,,,0
16666,0.999187,-0.040322,0.000000,-0.000000,,,,,,,0
33332,0.999187,-0.040322,0.000000,-0.000000,,,,,,,0
49998,0.650192,-0.014400,-0.028024,-0.759116,-0.072850,0.180216,0.020126,-0.006918,0.002231,0.026773,0
66664,0.650417,-0.014546,-0.027888,-0.758925,-0.046501,0.119896,0.007101,-0.006707,0.002722,0.021597,0
83330,0.650647,-0.014696,-0.027749,-0.758731,-0.057262,0.169819,-0.045681,-0.007728,0.002952,0.020008,0
99996,0.650879,-0.014847,-0.027609,-0.758534,-0.033503,0.195277,0.013823,-0.009712,0.003600,0.017154,0
116662,0.651113,-0.014999,-0.027467,-0.758335,-0.140582,0.131400,-0.058970,-0.008837,0.000025,0.014172,0
133328,0.651347,-0.015151,-0.027325,-0.758136,-0.086717,0.003985,0.000160,-0.007556,-0.000104,0.010910,0
149994,0.651579,-0.015302,-0.027184,-0.757939,-0.014803,0.217977,0.022932,-0.008712,0.001671,0.009713,0
166660,0.651808,-0.015451,-0.027045,-0.757744,-0.105660,0.080424,-0.060650,-0.008655,-0.000294,0.008259,0
183326,0.652033,-0.015597,-0.026909,-0.757552,-0.111412,0.136205,0.009193,-0.008943,-0.002019,0.006241,0
199992,0.652252,-0.015740,-0.026777,-0.757366,0.055628,0.226878,-0.052336,-0.010858,-0.000164,0.006249,0
216658,0.652463,-0.015879,-0.026649,-0.757185,-0.092263,0.059227,0.001976,-0.008862,-0.001734,0.008547,0
233324,0.652665,-0.016011,-0.026527,-0.757013,0.041292,0.140239,0.007772,-0.009268,0.000821,0.008288,0
249990,0.652857,-0.016138,-0.026411,-0.756848,-0.097499,0.157069,0.005748,-0.011674,-0.001479,0.008428,0
266656,0.653040,-0.016259,-0.026301,-0.756692,0.089735,0.018378,0.037434,-0.011696,0.000509,0.009288,0
283322,0.653216,-0.016375,-0.026195,-0.756541,-0.038682,0.016509,-0.009709,-0.010026,0.000039,0.008237,0
299988,0.653385,-0.016487,-0.026093,-0.756396,-0.103431,0.105745,0.001045,-0.010967,-0.002384,0.007664,0
316654,0.653548,-0.016595,-0.025996,-0.756257,0.024001,0.064635,-0.007324,-0.010693,-0.001107,0.007501,0
333320,0.653705,-0.016700,-0.025902,-0.756122,0.151043,0.022288,-0.025213,-0.008400,0.002463,0.006611,0
349986,0.653856,-0.016801,-0.025812,-0.755992,-0.055954,0.163538,0.004906,-0.011036,0.001349,0.006715,0
