SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
16666,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
33332,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
49998,0.893262,-0.011596,0.002830,-0.449377,0.033638,-0.017965,-0.051424,-0.156412,-0.070036,-0.010484,0
66664,0.893242,-0.011369,0.002580,-0.449425,-0.005075,-0.040008,0.063479,-0.153659,-0.071873,-0.007372,0
83330,0.893220,-0.011140,0.002327,-0.449476,0.032524,-0.175875,-0.197427,-0.163710,-0.073974,-0.006468,0
99996,0.893197,-0.010909,0.002072,-0.449529,0.097390,-0.132378,-0.169798,-0.168075,-0.076805,-0.006197,0
116662,0.893173,-0.010678,0.001816,-0.449583,-0.056613,-0.179009,0.010506,-0.172587,-0.076473,-0.004186,0
133328,0.893149,-0.010446,0.001560,-0.449636,0.092430,-0.158816,-0.114411,-0.178958,-0.080813,-0.003235,0
149994,0.893126,-0.010215,0.001305,-0.449689,0.090626,-0.087091,0.002667,-0.178979,-0.084310,-0.004053,0
166660,0.893103,-0.009986,0.001052,-0.449739,0.144666,0.070014,-0.074640,-0.180362,-0.089165,-0.007071,0
183326,0.893082,-0.009759,0.000802,-0.449787,0.062845,0.052074,-0.011620,-0.179022,-0.094097,-0.006577,0
199992,0.893063,-0.009536,0.000555,-0.449830,0.139203,0.069879,-0.044138,-0.179534,-0.095714,-0.008656,0
216658,0.893046,-0.009316,0.000313,-0.449868,0.054331,-0.112297,0.029720,-0.179760,-0.094700,-0.008093,0
233324,0.893033,-0.009102,0.000076,-0.449900,0.130113,-0.003446,0.002546,-0.176730,-0.094947,-0.010132,0
249990,0.893022,-0.008893,-0.000154,-0.449924,0.018331,-0.010090,0.099836,-0.172923,-0.093433,-0.009446,0
266656,0.893015,-0.008687,-0.000380,-0.449942,-0.091414,-0.171928,-0.003274,-0.172414,-0.090620,-0.004224,0
283322,0.893011,-0.008482,-0.000605,-0.449955,-0.013164,-0.030938,0.111243,-0.166676,-0.088319,-0.004014,0
299988,0.893009,-0.008278,-0.000827,-0.449963,-0.332825,-0.194900,0.332777,-0.158690,-0.078412,0.003473,0
316654,0.893009,-0.008077,-0.001046,-0.449966,-0.104271,0.034896,0.056401,-0.151668,-0.076940,0.003894,0
333320,0.893010,-0.007879,-0.001261,-0.449965,-0.355238,-0.073631,0.187699,-0.140876,-0.070418,0.012254,0
349986,0.893014,-0.007685,-0.001472,-0.449961,-0.255605,-0.109016,0.138406,-0.133459,-0.064037,0.015501,0
366652,0.893019,-0.007496,-0.001679,-0.449953,-0.358537,-0.056768,0.061409,-0.129416,-0.058928,0.022308,0
383318,0.893026,-0.007313,-0.001879,-0.449941,-0.238870,-0.179560,-0.080904,-0.127433,-0.053025,0.027012,0
399984,0.893034,-0.007137,-0.002073,-0.449927,-0.199852,0.042878,0.034247,-0.125124,-0.047100,0.026599,0
416650,0.893043,-0.006969,-0.002260,-0.449911,-0.186661,-0.046111,-0.078951,-0.121888,-0.043466,0.028797,0
433316,0.893054,-0.006810,-0.002439,-0.449892,-0.351953,-0.104415,-0.015903,-0.120262,-0.039444,0.036089,0
449982,0.893065,-0.006660,-0.002610,-0.449871,-0.139074,-0.093994,-0.226228,-0.119984,-0.042761,0.038111,0
466648,0.893078,-0.006522,-0.002773,-0.449846,-0.207997,0.021799,0.127957,-0.116153,-0.038315,0.041368,0
483314,0.893094,-0.006395,-0.002930,-0.449816,-0.176663,-0.140310,-0.017321,-0.115859,-0.036507,0.044878,0
499980,0.893112,-0.006277,-0.003081,-0.449781,-0.002145,0.187341,0.145669,-0.107437,-0.037204,0.043005,0
516646,0.893131,-0.006168,-0.003226,-0.449742,-0.082062,0.260410,0.220409,-0.098824,-0.032016,0.039452,0
533312,0.893152,-0.006066,-0.003365,-0.449701,0.003164,0.182640,0.174501,-0.091931,-0.023765,0.034979,0
549978,0.893174,-0.005970,-0.003497,-0.449657,0.106532,0.035143,-0.036369,-0.088544,-0.024554,0.033338,0
566644,0.893197,-0.005877,-0.003622,-0.449613,0.329530,0.102045,-0.175148,-0.086994,-0.030686,0.028046,0
583310,0.893220,-0.005787,-0.003741,-0.449568,-0.029359,-0.033352,0.255326,-0.077171,-0.027615,0.031566,0
599976,0.893242,-0.005699,-0.003852,-0.449524,0.096034,0.192954,0.077959,-0.067763,-0.028052,0.027002,0
616642,0.893263,-0.005610,-0.003957,-0.449482,-0.092806,0.098119,0.041458,-0.058776,-0.025374,0.027980,0
633308,0.893283,-0.005520,-0.004055,-0.449443,-0.038253,0.059780,-0.221621,-0.056799,-0.028712,0.026837,0
649974,0.893301,-0.005427,-0.004146,-0.449407,0.185352,0.121988,-0.108348,-0.047792,-0.036382,0.024230,0
666640,0.893318,-0.005331,-0.004227,-0.449374,0.256262,0.116595,0.015085,-0.042979,-0.040689,0.016897,0
683306,0.893333,-0.005235,-0.004297,-0.449344,0.373594,0.131038,-0.085154,-0.039128,-0.049318,0.009636,0
699972,0.893348,-0.005139,-0.004358,-0.449316,0.254491,0.174132,0.216674,-0.031618,-0.050607,0.002632,0
716638,0.893361,-0.005044,-0.004410,-0.449289,0.156608,-0.112829,0.030835,-0.031473,-0.054356,0.004460,0
733304,0.893375,-0.004949,-0.004456,-0.449263,0.180001,-0.017862,0.112189,-0.033566,-0.055852,0.002204,0
749970,0.893388,-0.004857,-0.004496,-0.449237,0.089020,-0.144839,-0.089079,-0.039886,-0.058303,0.002077,0
766636,0.893401,-0.004767,-0.004532,-0.449211,-0.187332,-0.190614,0.037254,-0.044207,-0.054519,0.010274,0
783302,0.893415,-0.004680,-0.004565,-0.449184,-0.392763,-0.338767,0.037229,-0.050153,-0.048525,0.023492,0
799968,0.893430,-0.004598,-0.004597,-0.449156,-0.598920,-0.457614,0.098352,-0.054397,-0.038737,0.041493,0
816634,0.893445,-0.004519,-0.004628,-0.449127,-0.337954,-0.309862,0.140526,-0.057029,-0.030636,0.048759,0
833300,0.893461,-0.004446,-0.004660,-0.449095,-0.174703,-0.054789,0.181960,-0.057224,-0.026811,0.049482,0
849966,0.893479,-0.004378,-0.004695,-0.449060,-0.273534,0.069009,0.250366,-0.052189,-0.019769,0.050867,0
866632,0.893498,-0.004316,-0.004732,-0.449021,-0.044497,0.119764,0.067661,-0.047388,-0.019789,0.044181,0
883298,0.893519,-0.004258,-0.004771,-0.448980,-0.171014,0.104640,0.091163,-0.042187,-0.014570,0.041028,0
899964,0.893541,-0.004204,-0.004810,-0.448936,-0.205697,0.149703,0.048709,-0.034153,-0.016099,0.039972,0
916630,0.893565,-0.004154,-0.004849,-0.448889,-0.061672,0.134787,0.013863,-0.029243,-0.014740,0.034873,0
933296,0.893588,-0.004108,-0.004886,-0.448842,-0.084167,0.072190,-0.053693,-0.023504,-0.018195,0.033949,0
949962,0.893612,-0.004066,-0.004920,-0.448794,0.028232,0.121959,-0.096338,-0.019897,-0.021208,0.030104,0
966628,0.893636,-0.004027,-0.004951,-0.448746,-0.034616,0.156774,-0.103932,-0.018860,-0.021973,0.027571,0
983294,0.893660,-0.003991,-0.004977,-0.448699,-0.127245,0.077168,-0.144454,-0.021134,-0.023145,0.026315,0
999960,0.893683,-0.003959,-0.004998,-0.448653,0.018254,0.095231,-0.000723,-0.018490,-0.024202,0.025916,0
1016626,0.893705,-0.003930,-0.005012,-0.448610,-0.024380,0.233754,0.104242,-0.013437,-0.023328,0.022097,0
1033292,0.893726,-0.003903,-0.005019,-0.448569,-0.016647,-0.009540,-0.020629,-0.014698,-0.024773,0.021605,0
1049958,0.893744,-0.003879,-0.005017,-0.448532,-0.014378,0.044459,0.057043,-0.014619,-0.023721,0.019347,0
1066624,0.893762,-0.003858,-0.005008,-0.448497,-0.068014,0.007040,-0.053028,-0.013657,-0.025341,0.018809,0
1083290,0.893779,-0.003839,-0.004991,-0.448463,-0.055174,0.159034,0.134209,-0.010494,-0.024840,0.016781,0
1099956,0.893796,-0.003823,-0.004969,-0.448430,-0.202369,0.020348,0.091905,-0.008628,-0.022267,0.016156,0
1116622,0.893812,-0.003810,-0.004941,-0.448399,-0.198856,0.111617,0.233819,0.000145,-0.021101,0.018379,0
1133288,0.893827,-0.003800,-0.004907,-0.448369,-0.238346,-0.009582,0.115500,0.003273,-0.016354,0.020627,0
1149954,0.893842,-0.003794,-0.004868,-0.448340,-0.240383,0.101403,0.283910,0.013199,-0.011379,0.022815,0
1166620,0.893855,-0.003791,-0.004824,-0.448314,-0.144278,0.213357,0.115438,0.023496,-0.009744,0.021988,0
1183286,0.893868,-0.003792,-0.004775,-0.448289,-0.058861,0.128156,0.042318,0.030873,-0.007594,0.021155,0
1199952,0.893880,-0.003797,-0.004723,-0.448266,-0.094488,0.194749,0.059999,0.037901,-0.002125,0.018541,0
1216618,0.893890,-0.003805,-0.004666,-0.448246,-0.001096,0.127426,-0.022146,0.046096,-0.004593,0.018427,0
1233284,0.893899,-0.003818,-0.004606,-0.448228,-0.092201,0.186594,0.029674,0.050961,-0.000519,0.015871,0
1249950,0.893907,-0.003836,-0.004543,-0.448213,-0.057269,0.174999,-0.139477,0.053062,-0.000206,0.015405,0
1266616,0.893914,-0.003859,-0.004476,-0.448200,-0.078220,0.178944,0.013620,0.056699,0.004547,0.013876,0
1283282,0.893919,-0.003889,-0.004404,-0.448191,-0.156247,0.118103,-0.032917,0.056182,0.007124,0.013417,0
1299948,0.893922,-0.003925,-0.004326,-0.448184,0.027508,-0.033012,-0.203599,0.052061,0.003956,0.012071,0
1316614,0.893925,-0.003965,-0.004244,-0.448180,-0.001469,-0.045640,-0.172556,0.050227,0.002040,0.011868,0
1333280,0.893926,-0.004010,-0.004158,-0.448177,-0.019645,0.070073,-0.119203,0.047847,0.003064,0.008631,0
1349946,0.893927,-0.004057,-0.004068,-0.448177,-0.148739,0.058381,-0.007976,0.048121,0.004064,0.009951,0
1366612,0.893926,-0.004106,-0.003975,-0.448178,0.029292,0.115676,0.034994,0.051453,0.006639,0.005492,0
1383278,0.893925,-0.004157,-0.003878,-0.448180,0.146092,0.167928,-0.026499,0.055287,0.002561,0.001903,0
1399944,0.893924,-0.004208,-0.003779,-0.448183,0.055833,0.037706,-0.005671,0.055759,0.002224,-0.001463,0
1416610,0.893922,-0.004258,-0.003677,-0.448187,0.188840,0.159088,0.053400,0.060650,0.001797,-0.007426,0
1433276,0.893920,-0.004306,-0.003574,-0.448192,0.043466,0.162234,0.206220,0.068878,0.002704,-0.009068,0
1449942,0.893918,-0.004353,-0.003469,-0.448197,0.122105,0.106769,0.043982,0.072758,0.000463,-0.009820,0
1466608,0.893915,-0.004398,-0.003360,-0.448203,0.012165,0.156422,0.111293,0.078917,0.000802,-0.010825,0
1483274,0.893910,-0.004446,-0.003246,-0.448212,-0.083122,0.004705,0.000779,0.079095,0.002994,-0.007096,0
1499940,0.893905,-0.004496,-0.003127,-0.448223,-0.008390,0.111199,-0.028805,0.082663,0.003540,-0.005596,0
1516606,0.893899,-0.004546,-0.003004,-0.448235,0.075528,0.008798,-0.172573,0.080472,-0.000609,-0.004193,0
1533272,0.893892,-0.004597,-0.002878,-0.448249,0.004410,0.089287,0.011650,0.081112,-0.001032,-0.003122,0
1549938,0.893886,-0.004648,-0.002751,-0.448263,0.072026,-0.019876,0.008079,0.079636,-0.002581,-0.004059,0
1566604,0.893879,-0.004697,-0.002623,-0.448277,0.065373,-0.148213,-0.178659,0.073259,-0.007829,-0.002277,0
1583270,0.893872,-0.004744,-0.002496,-0.448290,0.226292,0.001379,-0.136135,0.069719,-0.014526,-0.006169,0
1599936,0.893866,-0.004790,-0.002370,-0.448302,0.054311,-0.009446,0.015353,0.068327,-0.018339,-0.007720,0
1616602,0.893861,-0.004832,-0.002246,-0.448313,0.099007,-0.063357,-0.099305,0.064337,-0.022381,-0.010178,0
1633268,0.893857,-0.004871,-0.002125,-0.448321,-0.000288,0.031216,0.032786,0.064061,-0.022246,-0.012346,0
1649934,0.893854,-0.004906,-0.002009,-0.448327,-0.151172,-0.116570,-0.037532,0.061227,-0.025151,-0.007082,0
1666600,0.893853,-0.004936,-0.001897,-0.448329,-0.193344,-0.190699,-0.093434,0.055139,-0.024149,-0.003915,0
1683266,0.893853,-0.004961,-0.001789,-0.448329,-0.324475,-0.133283,0.018539,0.053912,-0.021585,0.002591,0
1699932,0.893854,-0.004983,-0.001684,-0.448328,-0.205485,-0.048086,0.118343,0.053728,-0.019427,0.004719,0
1716598,0.893856,-0.005002,-0.001580,-0.448324,-0.027039,-0.063054,0.044044,0.052360,-0.019107,0.004571,0
1733264,0.893858,-0.005019,-0.001478,-0.448320,-0.010897,-0.053080,0.059061,0.053790,-0.019101,0.004752,0
1749930,0.893860,-0.005034,-0.001377,-0.448315,-0.246512,-0.021450,0.109396,0.054056,-0.013583,0.008150,0
1766596,0.893863,-0.005048,-0.001275,-0.448310,0.052843,0.170239,0.087546,0.058695,-0.012548,0.005014,0
1783262,0.893866,-0.005062,-0.001173,-0.448304,-0.054494,-0.001967,-0.051303,0.057822,-0.011776,0.006469,0
1799928,0.893868,-0.005076,-0.001069,-0.448300,0.135850,0.126761,0.060982,0.061804,-0.013260,0.004647,0
1816594,0.893870,-0.005091,-0.000963,-0.448296,0.070598,0.071633,-0.081378,0.060533,-0.013613,0.001702,0
1833260,0.893871,-0.005108,-0.000853,-0.448294,0.134445,0.141907,0.086239,0.066048,-0.015767,0.000377,0
1849926,0.893871,-0.005128,-0.000740,-0.448294,0.033608,0.017241,0.021292,0.066901,-0.012617,-0.001533,0
1866592,0.893871,-0.005149,-0.000623,-0.448295,0.118446,-0.043734,-0.159020,0.064885,-0.015592,-0.000876,0
1883258,0.893869,-0.005170,-0.000502,-0.448298,0.163508,-0.013301,-0.048754,0.065971,-0.018513,-0.003112,0
1899924,0.893867,-0.005192,-0.000378,-0.448301,0.276859,-0.071537,-0.239395,0.062524,-0.023297,-0.005976,0
1916590,0.893865,-0.005214,-0.000252,-0.448306,-0.061349,0.030277,0.025216,0.065421,-0.020773,-0.004607,0
1933256,0.893862,-0.005237,-0.000125,-0.448311,0.055022,-0.027442,-0.061780,0.065775,-0.021576,-0.002776,0
1949922,0.893860,-0.005260,0.000004,-0.448316,0.048068,0.013199,-0.000526,0.067538,-0.020856,-0.003686,0
1966588,0.893857,-0.005283,0.000132,-0.448322,0.086301,0.004945,0.058566,0.068589,-0.020477,-0.003665,0
1983254,0.893853,-0.005307,0.000261,-0.448328,0.009983,-0.028967,0.085163,0.070696,-0.020012,-0.002593,0
1999920,0.893851,-0.005331,0.000389,-0.448333,0.021687,0.000816,0.126715,0.073834,-0.018684,-0.000534,0
2016586,0.893848,-0.005357,0.000515,-0.448337,0.036745,0.043408,0.023058,0.071847,-0.016856,-0.003258,0
2033252,0.893846,-0.005382,0.000638,-0.448341,0.045285,-0.050416,-0.102862,0.069891,-0.019439,-0.000636,0
2049918,0.893844,-0.005409,0.000759,-0.448344,0.041477,0.045564,0.030728,0.071352,-0.019166,-0.003784,0
